stop_id(s),latitude,longitude
0_3130,42.2608983,-71.7966625
0_3490,42.24702059999999,-71.7585565
0_261,42.25653,-71.7899402
0_274,42.254725900000004,-71.784259
0_277,42.250675699999995,-71.7670421
0_279,42.247702499999995,-71.7614112
0_280,42.246170899999996,-71.75988589999999
0_281,42.244160900000004,-71.757318
0_295,42.25439589999999,-71.78364
0_3530,42.2602099,-71.7951899
0_1180,42.245281,-71.7589402
0_302,42.2510509,-71.77856100000001
0_319,42.2564699,-71.7892399
0_282;0_311,42.24359650001366,-71.7563571500076
0_267;0_300,42.25048300000127,-71.77353894998917
0_272;0_298,42.2597250000246,-71.79373489998231
0_271;0_315,42.2505629500133,-71.76498290003612
0_266;0_301,42.250179150018326,-71.77537540004661
0_294;0_1181,42.25169750003258,-71.78212640004445
0_275;0_316,42.25269025005805,-71.7827214999959
0_264;0_303,42.250929650013916,-71.77965854993279
0_283;0_292,42.24142305000632,-71.75423094994095
0_262;0_305,42.256187350125565,-71.78780020003822
0_265;0_318,42.25091780011559,-71.7772671001118
0_263;0_304,42.25595990011887,-71.78584500015631
0_273;0_296,42.25527935017068,-71.78483074984862
0_269;0_299,42.250594850134895,-71.76871530025258
0_268;0_317,42.25081700017244,-71.7721963997616
0_278;0_293,42.2486187501778,-71.7622246497492
0_260;0_297,42.25730655027536,-71.79131119989458
