stop_id,latitude,longitude
451;412,42.25138500006278,-71.82005000000949
421,42.25986000000001,-71.80474
415;448,42.25434500000038,-71.81473500000435
449;414,42.25349000006425,-71.81613000024642
196,42.263079999999995,-71.80221
447;416,42.25555000004447,-71.81235000015798
456;407,42.24678500029548,-71.8285400003901
450;413,42.25229500016812,-71.81835500050822
445;417,42.2565600004364,-71.81039500104507
452;410,42.249830000036376,-71.82294000015636
419;444,42.25789500029736,-71.80788000071885
24,42.261780000000016,-71.80149
420,42.258799999999994,-71.80617000000001
453,42.249280000000006,-71.82404
442,42.260820000000024,-71.80386
404;459,42.2447690014569,-71.83493800055685
1503,42.260898,-71.796662
1508,42.261109999999995,-71.79987
408;455,42.24765000003151,-71.82697499998658
457;405,42.24561200084792,-71.83096950105744
409,42.24835000000001,-71.82556999999998
