stop_id,latitude,longitude
1133;1154,42.250817000172276,-71.7721964997617
1155;1132,42.250595000135036,-71.7687155002523
1855,42.247021,-71.758556
1134;1153,42.25048300000129,-71.77353899998913
1137,42.25105099999999,-71.77856099999998
345;347,42.25730650027581,-71.79131149989469
1148;1140,42.254561000419955,-71.78394949919327
1160,42.24770300000001,-71.761411
1139;1149,42.25269050005816,-71.78272149999543
1163;1125,42.243596500013695,-71.75635700000751
1150;1138,42.25092950001393,-71.77965849993294
342;350,42.25596000011902,-71.78584500015643
348;344,42.25650000053413,-71.78958999983412
604;584,42.25169750003273,-71.78212650004443
28;21,42.25972500002454,-71.79373499998222
1131;1158,42.25056300001335,-71.7649830000365
1159;1130,42.24861850017754,-71.76222449975016
343;349,42.256187500126,-71.78780000003894
1612,42.260210000000015,-71.79519000000002
1152;1135,42.250179000018335,-71.77537550004689
1503,42.260898,-71.796662
1162,42.244161,-71.757318
1136;1151,42.25091750011601,-71.777267000112
1156,42.25067600000001,-71.76704200000002
1124;1164,42.241423000006336,-71.7542309999409
1147;1141,42.25527950017111,-71.7848309998483
1127,42.245281,-71.75894000000001
1161,42.246171,-71.759886
