stop_id,latitude,longitude,direction
95,42.263406,-71.7968000000001,OUTBOUND
183,42.2856780000001,-71.7911179999998,INBOUND
184,42.2830080000001,-71.7921910000003,INBOUND
185,42.2813550000001,-71.7928599999997,INBOUND
186,42.2789149999999,-71.7938680000002,INBOUND
187,42.2776750000001,-71.7946150000001,INBOUND
188,42.2759180000001,-71.7957829999997,INBOUND
203,42.2764429999999,-71.7953230000002,OUTBOUND
204,42.2776830000001,-71.7945049999999,OUTBOUND
205,42.2793680000002,-71.7935579999999,OUTBOUND
206,42.2815680000001,-71.7926530000003,OUTBOUND
207,42.2831180000001,-71.7920479999998,OUTBOUND
209,42.2860659999999,-71.7907930000001,OUTBOUND
388,42.29462,-71.7750299999999,INBOUND
656,42.293111,-71.778198,INBOUND
657,42.2922410000001,-71.780111,INBOUND
658,42.2916059999998,-71.7819550000002,INBOUND
659,42.2893249999999,-71.7867399999997,INBOUND
661,42.2875530000001,-71.7892830000001,INBOUND
662,42.2739860000001,-71.7975650000002,INBOUND
663,42.2718960000001,-71.7988349999998,INBOUND
664,42.2708480000001,-71.798906,INBOUND
665,42.2698,-71.798883,INBOUND
670,42.2698149999999,-71.7985809999998,OUTBOUND
671,42.2709510000001,-71.7985900000002,OUTBOUND
672,42.2722629999999,-71.7985100000001,OUTBOUND
673,42.2737100000002,-71.7975310000001,OUTBOUND
674,42.2874810000001,-71.7891799999999,OUTBOUND
675,42.2884199999999,-71.7878130000002,OUTBOUND
676,42.2893809999998,-71.7864210000001,OUTBOUND
677,42.2913280000001,-71.7821779999999,OUTBOUND
678,42.2920830000001,-71.7802059999999,OUTBOUND
679,42.29295,-71.7783,OUTBOUND
823,42.2939990000002,-71.7758379999997,OUTBOUND
1383,42.268153,-71.7985100000001,INBOUND
1384,42.2673279999999,-71.7983519999998,INBOUND
1385,42.2662630000002,-71.7981369999998,INBOUND
1386,42.264228,-71.7978980000001,INBOUND
1459,42.2664789999999,-71.7979020000001,OUTBOUND
1461,42.2680849999999,-71.798281,OUTBOUND
1503,42.260898,-71.796662,BOTH
