stop_id,latitude,longitude,direction
21,42.2597099999999,-71.79366,INBOUND
28,42.25974,-71.79381,OUTBOUND
342,42.2560199999999,-71.78568,INBOUND
343,42.256202,-71.7876299999999,INBOUND
344,42.2564699999999,-71.78924,INBOUND
345,42.25728,-71.79106,INBOUND
347,42.257333,-71.791563,OUTBOUND
348,42.2565300000001,-71.7899400000001,OUTBOUND
349,42.256173,-71.78797,OUTBOUND
350,42.2559000000001,-71.7860099999999,OUTBOUND
584,42.25173,-71.78204,INBOUND
604,42.251665,-71.782213,OUTBOUND
1124,42.24153,-71.7542659999999,INBOUND
1125,42.2436050000001,-71.756301,INBOUND
1127,42.245281,-71.75894,INBOUND
1130,42.24854,-71.7620230000001,INBOUND
1131,42.250605,-71.764928,INBOUND
1132,42.250686,-71.76854,INBOUND
1133,42.2508929999999,-71.772395,INBOUND
1134,42.250526,-71.7735550000001,INBOUND
1135,42.250225,-71.775311,INBOUND
1136,42.250961,-71.7771039999999,INBOUND
1137,42.251051,-71.7785610000001,INBOUND
1138,42.251006,-71.7797139999999,INBOUND
1139,42.252688,-71.7826060000001,INBOUND
1140,42.254396,-71.78364,INBOUND
1141,42.255231,-71.784633,INBOUND
1147,42.255328,-71.785029,OUTBOUND
1148,42.254726,-71.784259,OUTBOUND
1149,42.252693,-71.782837,OUTBOUND
1150,42.250853,-71.779603,OUTBOUND
1151,42.250874,-71.77743,OUTBOUND
1152,42.250133,-71.77544,OUTBOUND
1153,42.25044,-71.773523,OUTBOUND
1154,42.250741,-71.771998,OUTBOUND
1155,42.250504,-71.768891,OUTBOUND
1156,42.250676,-71.767042,OUTBOUND
1158,42.250521,-71.765038,OUTBOUND
1159,42.248697,-71.762426,OUTBOUND
1160,42.247703,-71.761411,OUTBOUND
1161,42.246171,-71.759886,OUTBOUND
1162,42.244161,-71.757318,OUTBOUND
1163,42.243588,-71.756413,OUTBOUND
1164,42.241316,-71.754196,OUTBOUND
1503,42.260898,-71.796662,BOTH
1612,42.26021,-71.7951899999999,INBOUND
1855,42.247021,-71.7585559999999,BOTH
