stop_id,latitude,longitude,direction
24,42.26178,-71.80149,OUTBOUND
196,42.26308,-71.8022099999999,INBOUND
404,42.24483,-71.83436,INBOUND
405,42.245764,-71.8305289999999,INBOUND
407,42.24688,-71.8282800000001,INBOUND
408,42.24764,-71.8268899999999,INBOUND
409,42.24835,-71.82557,INBOUND
410,42.24972,-71.82303,INBOUND
412,42.25139,-71.8199300000001,INBOUND
413,42.25213,-71.81855,INBOUND
414,42.25336,-71.8162499999999,INBOUND
415,42.25429,-71.8147399999999,INBOUND
416,42.2554500000001,-71.8124499999999,INBOUND
417,42.2563500000001,-71.8107100000001,INBOUND
419,42.25772,-71.8081400000001,INBOUND
420,42.2588,-71.80617,INBOUND
421,42.2598600000001,-71.80474,INBOUND
442,42.26082,-71.80386,OUTBOUND
444,42.25807,-71.80762,OUTBOUND
445,42.25677,-71.8100800000001,OUTBOUND
447,42.25565,-71.81225,OUTBOUND
448,42.2544,-71.81473,OUTBOUND
449,42.25362,-71.81601,OUTBOUND
450,42.25246,-71.8181599999999,OUTBOUND
451,42.25138,-71.82017,OUTBOUND
452,42.24994,-71.82285,OUTBOUND
453,42.24928,-71.82404,OUTBOUND
455,42.24766,-71.82706,OUTBOUND
456,42.24669,-71.8288000000001,OUTBOUND
457,42.24546,-71.8314099999999,OUTBOUND
459,42.244708,-71.835516,OUTBOUND
1503,42.260898,-71.796662,BOTH
1508,42.26111,-71.79987,OUTBOUND
