route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
7,0_1,0_1329344,Washington Heights,0,7,L7P43
5,0_3,0_3329282,Central Hub,1,5,L5P43
4,0_4,0_4329261,Central Hub,1,4,L4P53
33,0_5,0_5329228,Central Hub,1,200,L33P67
6,0_2,0_2329314,West Tatnuck via Chandler St.,0,39,L6P24
33,0_5,0_5329231,Central Hub,1,27,L33P69
7,0_1,0_1329347,Washington Heights,0,15,L7P43
5,0_3,0_3329293,Broad Meadow Brook Audobon Center,0,5,L5P45
4,0_4,0_4329260,Central Hub,1,4,L4P53
6,0_2,0_2329313,West Tatnuck via Chandler St.,0,39,L6P24
7,0_1,0_1329350,Washington Heights,0,7,L7P43
5,0_3,0_3329280,Central Hub,1,5,L5P43
4,0_4,0_4329251,Shoppes at Blackstone Valley,0,4,L4P51
33,0_5,0_5329218,Leicester – Spencer – Brookfield,0,8,L33P56
6,0_2,0_2329312,West Tatnuck via Chandler St.,0,39,L6P24
7,0_1,0_1329345,Washington Heights,0,15,L7P44
5,0_3,0_3329283,Central Hub,1,5,L5P43
4,0_4,0_4329250,Shoppes at Blackstone Valley,0,4,L4P51
33,0_5,0_5329229,Central Hub,1,50,L33P67
6,0_2,0_2329327,Central Hub,1,39,L6P26
33,0_5,0_5329224,Leicester Via Main St. Webster Sq.,0,50,L33P57
7,0_1,0_1329356,Washington Heights,0,7,L7P43
5,0_3,0_3329294,Broad Meadow Brook Audobon Center,0,5,L5P45
4,0_4,0_4329257,Central Hub,1,4,L4P53
6,0_2,0_2329326,Central Hub,1,39,L6P26
7,0_1,0_1329359,Washington Heights,0,15,L7P43
5,0_3,0_3329289,Central Hub,1,5,L5P43
4,0_4,0_4329256,Central Hub,1,4,L4P53
33,0_5,0_5329227,Central Hub,1,200,L33P67
6,0_2,0_2329325,Central Hub,1,39,L6P26
7,0_1,0_1329346,Washington Heights,0,7,L7P44
5,0_3,0_3329292,Broad Meadow Brook Audobon Center,0,5,L5P45
4,0_4,0_4329263,Central Hub,1,4,L4P53
33,0_5,0_5329230,Central Hub,1,8,L33P67
6,0_2,0_2329324,Central Hub,1,39,L6P26
7,0_1,0_1329357,Washington Heights,0,15,L7P44
5,0_3,0_3329295,Central Hub,1,5,L5P43
4,0_4,0_4329262,Central Hub,1,4,L4P53
33,0_5,0_5329225,Leicester Via Main St. Webster Sq.,0,8,L33P57
5,0_2,0_2329291,Broad Meadow Brook Audobon Center,0,5,L5P45
6,0_1,0_1329320,Central Hub,1,39,L6P26
4,0_3,0_3329258,Central Hub,1,4,L4P53
