stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding,vehicle_type
0_865,865,Pleasant St + Copley Rd,,42.2661101,-71.8234399,,0,1_865,,3
0_624,624,Main St at Gould Hill,,42.2403379,-71.8605301,,0,1_624,,3
0_866,866,Pleasant St + Norman Ave,,42.2650757,-71.822219,,0,1_866,,3
0_4555,4555,Main St at Francis St,,42.2960871,-71.7060729,,0,1_4555,,3
0_625,625,Main St at Ludlow,,42.2397259,-71.856246,,0,1_625,,3
0_868,868,Pleasant St + Abbott St,,42.2641054,-71.8203931,,0,1_868,,3
0_627,627,Main St at Stearns,,42.2406799,-71.8535852,,0,1_627,,3
0_869,869,Park Ave and Pleasant St,Comment,42.2635199,-71.8192,,0,1_PkPlsn,,3
0_628,628,Main St at Grandview,,42.240966,-71.8515731,,0,1_628,,3
0_629,629,Main St at Eureka,,42.24134,-71.84946,,0,1_629,,3
0_6510,6510,Southbridge St at Liecester,,42.1632181,-71.8865409,,0,1_6510,,3
0_1066,1066,Vernon St at Cargill,,42.243668,-71.796896,,0,1_1066,,3
0_3002,3002,Major Taylor at DCU Out,,42.2664793,-71.7979019,,0,1_3002,,3
0_1064,1064,Vernon St at Windham,,42.244925,-71.7959981,,0,1_1064,,3
0_1063,1063,Vernon St at Euclid,,42.2455681,-71.7954809,,0,1_1063,,3
0_1061,1061,Vernon St at View,,42.24703,-71.794783,,0,1_1061,,3
0_1060,1060,Vernon St at Alpine,,42.248221,-71.7947258,,0,1_1060,,3
0_870,870,Pleasant St + Mason St,,42.26334,-71.8178199,,0,1_870,,3
0_871,871,Pleasant St + Bellevue St,,42.26342,-71.8162401,,0,1_871,,3
0_630,630,Main St at Henshaw,,42.2416261,-71.848108,,0,1_630,,3
0_872,872,Pleasant St + Russell St,,42.2637182,-71.8143389,,0,1_872,,3
0_1059,1059,Vernon St at Seymour,,42.2491281,-71.7947511,,0,1_1059,,3
0_631,631,Main St at Blaine,,42.2419599,-71.846638,,0,1_631,,3
0_1058,1058,Vernon St at Suffield,,42.2501529,-71.7948781,,0,1_1058,,3
0_874,874,Pleasant St + Hawley St,,42.26403,-71.812,,0,1_874,,3
0_1057,1057,Vernon St at Richland,,42.2511377,-71.7953169,,0,1_1057,,3
