Origin,0-800m Trips,0-1600m Trips,800-1600m Trips
415;448,55,44,15
408;455,38,26,8
412;451,47,59,25
416;447,52,52,31
410;452,35,66,13
414;449,53,41,9
407;456,39,46,18
413;450,52,77,27
419;444;420,81,67,24
417;445,30,72,24
405;457,67,34,0
404;459,69,95,33
421;442,125,127,29
196;24;1508,69,54,10
409;453,36,51,22
1503,71,55,6
1125;1163;1162,20,5,0
1134;1153,12,11,7
21;28;1612,94,79,25
1131;1158,18,24,4
1135;1152,25,13,2
584;604,28,68,22
1139;1149,35,26,1
1138;1150;1137,29,23,1
1124;1164,20,30,19
343;349,63,31,3
1136;1151,23,21,8
342;350,57,32,14
1141;1147,23,20,1
1132;1155;1156,12,12,11
1133;1154,9,31,14
1130;1159;1160,31,17,0
345;347,62,137,79
344;348,49,73,32
1140;1148,24,44,15
1127;1161,43,24,0
1855,3,1,3
187;204,31,19,6
661;674,31,17,5
184;207,21,28,2
657;678,23,19,1
656;679,30,23,3
1383;1461;1384,50,57,22
665;670,12,14,6
659;676;675,29,19,3
664;671,40,38,7
185;206,37,17,8
662;673,41,57,18
1385;1459,66,51,8
658;677,16,13,0
663;672,17,20,5
183;209,17,30,6
186;205,21,4,0
188;203,38,58,22
388;823,74,64,16
1386;95,52,33,17
