origin,time,corridor,onboardings,car_trips_0_800m,car_trips_0_1600m,car_trips_800_1600m,bus_ratio_near,bus_ratio_all
1132;1155;1156,06:00 - 09:00,Blue,25,118,178,55,0.174825,0.066489
1133;1154,06:00 - 09:00,Blue,41,151,158,65,0.213542,0.098795
1130;1159;1160,06:00 - 09:00,Blue,23,262,173,2,0.080702,0.050000
345;347,06:00 - 09:00,Blue,1,366,807,459,0.002725,0.000612
344;348,06:00 - 09:00,Blue,235,289,403,211,0.448473,0.206503
1140;1148,06:00 - 09:00,Blue,155,257,241,88,0.376214,0.209177
1127;1161,06:00 - 09:00,Blue,7,293,150,9,0.023333,0.015251
1855,06:00 - 09:00,Blue,72,43,25,19,0.626087,0.452830
187;204,06:00 - 09:00,Green,118,148,147,34,0.443609,0.263982
661;674,06:00 - 09:00,Green,70,169,172,43,0.292887,0.154185
184;207,06:00 - 09:00,Green,411,185,134,33,0.689597,0.538663
657;678,06:00 - 09:00,Green,57,163,128,20,0.259091,0.154891
656;679,06:00 - 09:00,Green,178,246,166,20,0.419811,0.291803
1383;1461;1384,06:00 - 09:00,Green,93,359,347,107,0.205752,0.102649
665;670,06:00 - 09:00,Green,41,104,140,58,0.282759,0.119534
659;676;675,06:00 - 09:00,Green,17,301,273,96,0.053459,0.024745
664;671,06:00 - 09:00,Green,212,349,308,77,0.377897,0.224101
185;206,06:00 - 09:00,Green,165,223,153,23,0.425258,0.292553
662;673,06:00 - 09:00,Green,22,601,469,133,0.035313,0.017959
1385;1459,06:00 - 09:00,Green,48,576,382,67,0.076923,0.044734
658;677,06:00 - 09:00,Green,16,116,79,6,0.121212,0.073733
663;672,06:00 - 09:00,Green,34,335,251,63,0.092141,0.049780
183;209,06:00 - 09:00,Green,414,209,228,41,0.664526,0.464126
186;205,06:00 - 09:00,Green,96,160,76,1,0.375000,0.288288
188;203,06:00 - 09:00,Green,431,360,472,222,0.544880,0.290236
388;823,06:00 - 09:00,Green,370,612,618,138,0.376782,0.212888
1386;95,06:00 - 09:00,Green,20,393,286,59,0.048426,0.026385
415;448,09:00 - 15:00,Orange,1877,1212,1040,314,0.607640,0.422462
408;455,09:00 - 15:00,Orange,1105,747,714,295,0.596652,0.386229
412;451,09:00 - 15:00,Orange,597,840,1254,618,0.415449,0.180417
416;447,09:00 - 15:00,Orange,488,791,1558,822,0.381548,0.133370
410;452,09:00 - 15:00,Orange,1816,990,1190,500,0.647185,0.403915
414;449,09:00 - 15:00,Orange,1078,743,833,350,0.591982,0.358855
407;456,09:00 - 15:00,Orange,471,564,927,457,0.455072,0.194709
413;450,09:00 - 15:00,Orange,823,876,1427,689,0.484403,0.215727
419;444;420,09:00 - 15:00,Orange,3833,2158,2015,613,0.639793,0.444715
417;445,09:00 - 15:00,Orange,1821,929,1621,832,0.662182,0.349990
405;457,09:00 - 15:00,Orange,3571,1782,1084,80,0.667103,0.547952
404;459,09:00 - 15:00,Orange,208,2276,3331,1197,0.083736,0.029663
421;442,09:00 - 15:00,Orange,2082,3319,2805,688,0.385484,0.234090
196;24;1508,09:00 - 15:00,Orange,2505,2524,1682,386,0.498111,0.352966
409;453,09:00 - 15:00,Orange,1229,923,1295,557,0.571097,0.306943
1503,09:00 - 15:00,all,24474,2450,1528,218,0.909003,0.853645
1125;1163;1162,09:00 - 15:00,Blue,199,484,277,25,0.291362,0.202030
1134;1153,09:00 - 15:00,Blue,59,178,327,175,0.248945,0.079838
21;28;1612,09:00 - 15:00,Blue,78,2109,2402,837,0.035665,0.014375
1131;1158,09:00 - 15:00,Blue,41,512,483,194,0.074141,0.033333
1135;1152,09:00 - 15:00,Blue,44,473,334,51,0.085106,0.048780
584;604,09:00 - 15:00,Blue,211,584,1038,458,0.265409,0.092100
1139;1149,09:00 - 15:00,Blue,60,789,432,55,0.070671,0.044910
1138;1150;1137,09:00 - 15:00,Blue,428,972,565,57,0.305714,0.211672
1124;1164,09:00 - 15:00,Blue,48,836,2021,1116,0.054299,0.011937
343;349,09:00 - 15:00,Blue,532,772,621,160,0.407975,0.255156
1136;1151,09:00 - 15:00,Blue,65,533,440,148,0.108696,0.054806
342;350,09:00 - 15:00,Blue,540,1044,836,186,0.340909,0.207214
1141;1147,09:00 - 15:00,Blue,83,482,376,55,0.146903,0.083333
1132;1155;1156,09:00 - 15:00,Blue,128,528,513,132,0.195122,0.098386
1133;1154,09:00 - 15:00,Blue,98,398,397,138,0.197581,0.095053
1130;1159;1160,09:00 - 15:00,Blue,130,1154,625,12,0.101246,0.067673
345;347,09:00 - 15:00,Blue,9,1097,2641,1448,0.008137,0.001732
344;348,09:00 - 15:00,Blue,546,782,1196,518,0.411145,0.179487
1140;1148,09:00 - 15:00,Blue,92,627,613,192,0.127955,0.060367
1127;1161,09:00 - 15:00,Blue,28,1102,540,10,0.024779,0.016667
1855,09:00 - 15:00,Blue,826,429,267,73,0.658167,0.517868
187;204,09:00 - 15:00,Green,464,569,372,141,0.449177,0.300129
661;674,09:00 - 15:00,Green,160,833,571,163,0.161128,0.092646
184;207,09:00 - 15:00,Green,797,595,464,135,0.572557,0.400301
657;678,09:00 - 15:00,Green,260,663,361,62,0.281690,0.193165
656;679,09:00 - 15:00,Green,763,1170,575,55,0.394723,0.297698
1383;1461;1384,09:00 - 15:00,Green,618,1315,1138,352,0.319710,0.180543
665;670,09:00 - 15:00,Green,206,562,536,209,0.268229,0.136153
659;676;675,09:00 - 15:00,Green,59,1143,732,210,0.049085,0.027519
664;671,09:00 - 15:00,Green,741,1305,1381,466,0.362170,0.190342
185;206,09:00 - 15:00,Green,544,678,391,112,0.445172,0.315362
662;673,09:00 - 15:00,Green,37,2108,1908,624,0.017249,0.007911
1385;1459,09:00 - 15:00,Green,206,2374,1408,219,0.079845,0.048966
658;677,09:00 - 15:00,Green,87,546,295,32,0.137441,0.090625
663;672,09:00 - 15:00,Green,212,1194,1194,414,0.150782,0.070338
183;209,09:00 - 15:00,Green,1927,846,837,209,0.694915,0.504582
186;205,09:00 - 15:00,Green,150,479,232,19,0.238474,0.170455
188;203,09:00 - 15:00,Green,1695,1262,1401,512,0.573216,0.348049
388;823,09:00 - 15:00,Green,2851,4518,2899,491,0.386891,0.264987
1386;95,09:00 - 15:00,Green,126,1615,1105,263,0.072372,0.040528
415;448,15:00 - 18:00,Orange,746,658,593,170,0.531339,0.344255
408;455,15:00 - 18:00,Orange,401,389,384,152,0.507595,0.302413
412;451,15:00 - 18:00,Orange,247,467,683,334,0.345938,0.142692
416;447,15:00 - 18:00,Orange,190,526,921,435,0.265363,0.091699
410;452,15:00 - 18:00,Orange,922,568,750,319,0.618792,0.360297
414;449,15:00 - 18:00,Orange,300,353,485,208,0.459418,0.222883
407;456,15:00 - 18:00,Orange,129,278,536,258,0.316953,0.107410
413;450,15:00 - 18:00,Orange,347,501,903,454,0.409198,0.157370
419;444;420,15:00 - 18:00,Orange,1382,1162,1138,409,0.543239,0.337815
417;445,15:00 - 18:00,Orange,655,492,908,487,0.571055,0.257671
405;457,15:00 - 18:00,Orange,1327,1032,620,40,0.562526,0.439550
404;459,15:00 - 18:00,Orange,100,1279,1898,674,0.072516,0.025310
421;442,15:00 - 18:00,Orange,672,1838,1718,385,0.267729,0.145675
196;24;1508,15:00 - 18:00,Orange,1235,1442,1098,204,0.461337,0.310379
409;453,15:00 - 18:00,Orange,607,477,702,277,0.559963,0.294232
1503,15:00 - 18:00,all,11640,1482,1042,155,0.887060,0.812906
1125;1163;1162,15:00 - 18:00,Blue,81,232,123,17,0.258786,0.178808
1134;1153,15:00 - 18:00,Blue,15,107,206,107,0.122951,0.034483
21;28;1612,15:00 - 18:00,Blue,69,1235,1390,480,0.052914,0.021739
1131;1158,15:00 - 18:00,Blue,5,316,355,101,0.015576,0.006435
1135;1152,15:00 - 18:00,Blue,25,319,205,29,0.072674,0.043253
584;604,15:00 - 18:00,Blue,47,322,533,292,0.127371,0.039363
1139;1149,15:00 - 18:00,Blue,6,408,253,22,0.014493,0.008708
1138;1150;1137,15:00 - 18:00,Blue,126,568,321,32,0.181556,0.120344
1124;1164,15:00 - 18:00,Blue,50,536,1161,681,0.085324,0.020593
343;349,15:00 - 18:00,Blue,145,398,377,73,0.267035,0.146022
1136;1151,15:00 - 18:00,Blue,22,295,219,106,0.069401,0.034268
342;350,15:00 - 18:00,Blue,177,648,429,84,0.214545,0.132287
1141;1147,15:00 - 18:00,Blue,25,309,226,31,0.074850,0.042301
1132;1155;1156,15:00 - 18:00,Blue,121,342,255,84,0.261339,0.150873
1133;1154,15:00 - 18:00,Blue,13,251,238,85,0.049242,0.022147
1130;1159;1160,15:00 - 18:00,Blue,82,628,362,4,0.115493,0.076208
345;347,15:00 - 18:00,Blue,1,591,1437,803,0.001689,0.000353
344;348,15:00 - 18:00,Blue,146,427,655,326,0.254799,0.093951
1140;1148,15:00 - 18:00,Blue,19,333,344,103,0.053977,0.023780
1127;1161,15:00 - 18:00,Blue,11,551,308,10,0.019573,0.012500
1855,15:00 - 18:00,Blue,404,263,182,28,0.605697,0.460661
187;204,15:00 - 18:00,Green,126,362,290,76,0.258197,0.147541
661;674,15:00 - 18:00,Green,49,452,333,100,0.097804,0.052463
184;207,15:00 - 18:00,Green,346,362,321,103,0.488701,0.305654
657;678,15:00 - 18:00,Green,145,438,275,46,0.248714,0.160398
656;679,15:00 - 18:00,Green,376,738,334,51,0.337522,0.250834
1383;1461;1384,15:00 - 18:00,Green,313,806,707,215,0.279714,0.153356
665;670,15:00 - 18:00,Green,51,324,342,116,0.136000,0.061224
659;676;675,15:00 - 18:00,Green,21,609,418,123,0.033333,0.017933
664;671,15:00 - 18:00,Green,293,723,828,317,0.288386,0.135585
185;206,15:00 - 18:00,Green,215,422,270,73,0.337520,0.219388
662;673,15:00 - 18:00,Green,13,1234,1234,322,0.010425,0.004638
1385;1459,15:00 - 18:00,Green,77,1277,771,120,0.056869,0.034298
658;677,15:00 - 18:00,Green,73,466,234,15,0.135436,0.092640
663;672,15:00 - 18:00,Green,101,793,734,239,0.112975,0.054097
183;209,15:00 - 18:00,Green,753,490,546,152,0.605792,0.387944
186;205,15:00 - 18:00,Green,58,299,154,17,0.162465,0.109848
188;203,15:00 - 18:00,Green,839,820,965,360,0.505726,0.281166
388;823,15:00 - 18:00,Green,1753,2766,1759,287,0.387918,0.267022
1386;95,15:00 - 18:00,Green,103,1097,728,127,0.085833,0.050122
415;448,18:00 - 22:00,Orange,320,547,577,145,0.369089,0.201385
408;455,18:00 - 22:00,Orange,202,444,461,171,0.312693,0.158059
412;451,18:00 - 22:00,Orange,137,494,731,419,0.217116,0.076923
416;447,18:00 - 22:00,Orange,131,432,825,442,0.232682,0.071585
410;452,18:00 - 22:00,Orange,387,555,728,384,0.410828,0.188413
414;449,18:00 - 22:00,Orange,143,348,494,243,0.291242,0.116450
407;456,18:00 - 22:00,Orange,48,298,518,264,0.138728,0.042553
413;450,18:00 - 22:00,Orange,210,454,919,541,0.316265,0.098870
419;444;420,18:00 - 22:00,Orange,576,1014,1162,454,0.362264,0.179663
417;445,18:00 - 22:00,Orange,395,429,731,413,0.479369,0.200711
405;457,18:00 - 22:00,Orange,626,1018,613,33,0.380779,0.273362
404;459,18:00 - 22:00,Orange,40,1281,1993,726,0.030280,0.009901
421;442,18:00 - 22:00,Orange,332,1653,1617,413,0.167254,0.082690
196;24;1508,18:00 - 22:00,Orange,449,1153,900,200,0.280275,0.166173
409;453,18:00 - 22:00,Orange,339,527,734,368,0.391455,0.172256
1503,18:00 - 22:00,all,6704,1445,1011,171,0.822678,0.718465
1125;1163;1162,18:00 - 22:00,Blue,29,188,148,22,0.133641,0.074935
1134;1153,18:00 - 22:00,Blue,5,103,217,106,0.046296,0.011601
21;28;1612,18:00 - 22:00,Blue,33,1338,1598,532,0.024070,0.009426
1131;1158,18:00 - 22:00,Blue,11,295,281,96,0.035948,0.016105
1135;1152,18:00 - 22:00,Blue,5,325,209,34,0.015152,0.008726
584;604,18:00 - 22:00,Blue,11,378,515,237,0.028278,0.009641
1139;1149,18:00 - 22:00,Blue,4,476,239,33,0.008333,0.005319
1138;1150;1137,18:00 - 22:00,Blue,67,622,364,29,0.097242,0.061922
1124;1164,18:00 - 22:00,Blue,14,456,832,438,0.029787,0.008046
343;349,18:00 - 22:00,Blue,39,443,356,86,0.080913,0.042208
1136;1151,18:00 - 22:00,Blue,1,294,257,83,0.003390,0.001575
342;350,18:00 - 22:00,Blue,101,786,541,96,0.113867,0.066273
1141;1147,18:00 - 22:00,Blue,5,293,212,34,0.016779,0.009191
1132;1155;1156,18:00 - 22:00,Blue,27,386,318,87,0.065375,0.033007
1133;1154,18:00 - 22:00,Blue,2,193,245,100,0.010256,0.003704
1130;1159;1160,18:00 - 22:00,Blue,45,765,375,2,0.055556,0.037911
345;347,18:00 - 22:00,Blue,0,592,1671,957,0.000000,0.000000
344;348,18:00 - 22:00,Blue,46,431,614,297,0.096436,0.033141
1140;1148,18:00 - 22:00,Blue,5,373,354,86,0.013228,0.006112
1127;1161,18:00 - 22:00,Blue,2,546,277,8,0.003650,0.002401
1855,18:00 - 22:00,Blue,195,270,170,43,0.419355,0.287611
187;204,18:00 - 22:00,Green,45,242,214,64,0.156794,0.079646
661;674,18:00 - 22:00,Green,28,282,273,98,0.090323,0.041116
184;207,18:00 - 22:00,Green,114,344,240,67,0.248908,0.149020
657;678,18:00 - 22:00,Green,79,387,255,38,0.169528,0.104084
656;679,18:00 - 22:00,Green,196,693,349,34,0.220472,0.154088
1383;1461;1384,18:00 - 22:00,Green,94,643,630,213,0.127544,0.059494
665;670,18:00 - 22:00,Green,14,222,275,130,0.059322,0.021841
659;676;675,18:00 - 22:00,Green,17,551,389,88,0.029930,0.016268
664;671,18:00 - 22:00,Green,105,682,926,370,0.133418,0.050408
185;206,18:00 - 22:00,Green,109,352,197,46,0.236443,0.154830
662;673,18:00 - 22:00,Green,10,941,924,311,0.010515,0.004575
1385;1459,18:00 - 22:00,Green,23,895,591,127,0.025054,0.014059
658;677,18:00 - 22:00,Green,45,286,159,12,0.135952,0.089641
663;672,18:00 - 22:00,Green,27,530,573,266,0.048474,0.019341
183;209,18:00 - 22:00,Green,160,272,293,96,0.370370,0.194884
186;205,18:00 - 22:00,Green,20,246,110,10,0.075188,0.051813
188;203,18:00 - 22:00,Green,296,511,791,322,0.366791,0.154167
