Origin,0-800m Trips,0-1600m Trips,800-1600m Trips
415;448,658,593,170
408;455,389,384,152
412;451,467,683,334
416;447,526,921,435
410;452,568,750,319
414;449,353,485,208
407;456,278,536,258
413;450,501,903,454
419;444;420,1162,1138,409
417;445,492,908,487
405;457,1032,620,40
404;459,1279,1898,674
421;442,1838,1718,385
196;24;1508,1442,1098,204
409;453,477,702,277
1503,1482,1042,155
1125;1163;1162,232,123,17
1134;1153,107,206,107
21;28;1612,1235,1390,480
1131;1158,316,355,101
1135;1152,319,205,29
584;604,322,533,292
1139;1149,408,253,22
1138;1150;1137,568,321,32
1124;1164,536,1161,681
343;349,398,377,73
1136;1151,295,219,106
342;350,648,429,84
1141;1147,309,226,31
1132;1155;1156,342,255,84
1133;1154,251,238,85
1130;1159;1160,628,362,4
345;347,591,1437,803
344;348,427,655,326
1140;1148,333,344,103
1127;1161,551,308,10
1855,263,182,28
187;204,362,290,76
661;674,452,333,100
184;207,362,321,103
657;678,438,275,46
656;679,738,334,51
1383;1461;1384,806,707,215
665;670,324,342,116
659;676;675,609,418,123
664;671,723,828,317
185;206,422,270,73
662;673,1234,1234,322
1385;1459,1277,771,120
658;677,466,234,15
663;672,793,734,239
183;209,490,546,152
186;205,299,154,17
188;203,820,965,360
388;823,2766,1759,287
1386;95,1097,728,127
