Origin,0-800m Trips,0-1600m Trips,800-1600m Trips
415;448,325,295,89
408;455,279,252,80
412;451,262,433,190
416;447,232,391,180
410;452,255,294,120
414;449,238,224,97
407;456,151,279,107
413;450,289,368,175
419;444;420,541,528,169
417;445,291,472,191
405;457,398,201,13
404;459,626,797,256
421;442,741,696,212
196;24;1508,523,316,123
409;453,269,392,178
1503,722,425,55
1125;1163;1162,157,60,4
1134;1153,61,105,41
21;28;1612,630,576,149
1131;1158,134,209,78
1135;1152,177,107,19
584;604,193,352,157
1139;1149,251,187,20
1138;1150;1137,270,198,27
1124;1164,268,441,196
343;349,266,200,51
1136;1151,160,184,64
342;350,389,293,56
1141;1147,200,122,21
1132;1155;1156,118,178,55
1133;1154,151,158,65
1130;1159;1160,262,173,2
345;347,366,807,459
344;348,289,403,211
1140;1148,257,241,88
1127;1161,293,150,9
1855,43,25,19
187;204,148,147,34
661;674,169,172,43
184;207,185,134,33
657;678,163,128,20
656;679,246,166,20
1383;1461;1384,359,347,107
665;670,104,140,58
659;676;675,301,273,96
664;671,349,308,77
185;206,223,153,23
662;673,601,469,133
1385;1459,576,382,67
658;677,116,79,6
663;672,335,251,63
183;209,209,228,41
186;205,160,76,1
188;203,360,472,222
388;823,612,618,138
1386;95,393,286,59
