Origin,0-800m Trips,0-1600m Trips,800-1600m Trips
415;448,1212,1040,314
408;455,747,714,295
412;451,840,1254,618
416;447,791,1558,822
410;452,990,1190,500
414;449,743,833,350
407;456,564,927,457
413;450,876,1427,689
419;444;420,2158,2015,613
417;445,929,1621,832
405;457,1782,1084,80
404;459,2276,3331,1197
421;442,3319,2805,688
196;24;1508,2524,1682,386
409;453,923,1295,557
1503,2450,1528,218
1125;1163;1162,484,277,25
1134;1153,178,327,175
21;28;1612,2109,2402,837
1131;1158,512,483,194
1135;1152,473,334,51
584;604,584,1038,458
1139;1149,789,432,55
1138;1150;1137,972,565,57
1124;1164,836,2021,1116
343;349,772,621,160
1136;1151,533,440,148
342;350,1044,836,186
1141;1147,482,376,55
1132;1155;1156,528,513,132
1133;1154,398,397,138
1130;1159;1160,1154,625,12
345;347,1097,2641,1448
344;348,782,1196,518
1140;1148,627,613,192
1127;1161,1102,540,10
1855,429,267,73
187;204,569,372,141
661;674,833,571,163
184;207,595,464,135
657;678,663,361,62
656;679,1170,575,55
1383;1461;1384,1315,1138,352
665;670,562,536,209
659;676;675,1143,732,210
664;671,1305,1381,466
185;206,678,391,112
662;673,2108,1908,624
1385;1459,2374,1408,219
658;677,546,295,32
663;672,1194,1194,414
183;209,846,837,209
186;205,479,232,19
188;203,1262,1401,512
388;823,4518,2899,491
1386;95,1615,1105,263
