Origin,Trips to 0-400m regions,Trips to 400-800m regions
415;448_0-400m,55,27
415;448_400-800m,17,15
408;455_0-400m,38,13
408;455_400-800m,13,8
412;451_0-400m,47,14
412;451_400-800m,45,25
416;447_0-400m,52,13
416;447_400-800m,39,31
410;452_0-400m,35,15
410;452_400-800m,51,13
414;449_0-400m,53,22
414;449_400-800m,19,9
407;456_0-400m,39,7
407;456_400-800m,39,18
413;450_0-400m,52,31
413;450_400-800m,46,27
419;444;420_0-400m,81,29
419;444;420_400-800m,38,24
417;445_0-400m,30,13
417;445_400-800m,59,24
405;457_0-400m,67,34
405;457_400-800m,0,0
404;459_0-400m,69,49
404;459_400-800m,46,33
421;442_0-400m,125,68
421;442_400-800m,59,29
196;24;1508_0-400m,69,23
196;24;1508_400-800m,31,10
409;453_0-400m,36,18
409;453_400-800m,33,22
1503_0-400m,71,40
1503_400-800m,15,6
1125;1163;1162_0-400m,20,5
1125;1163;1162_400-800m,0,0
1134;1153_0-400m,12,2
1134;1153_400-800m,9,7
21;28;1612_0-400m,94,52
21;28;1612_400-800m,27,25
1131;1158_0-400m,18,15
1131;1158_400-800m,9,4
1135;1152_0-400m,25,6
1135;1152_400-800m,7,2
584;604_0-400m,28,17
584;604_400-800m,51,22
1139;1149_0-400m,35,24
1139;1149_400-800m,2,1
1138;1150;1137_0-400m,29,20
1138;1150;1137_400-800m,3,1
1124;1164_0-400m,20,13
1124;1164_400-800m,17,19
343;349_0-400m,63,25
343;349_400-800m,6,3
1136;1151_0-400m,23,10
1136;1151_400-800m,11,8
342;350_0-400m,57,16
342;350_400-800m,16,14
1141;1147_0-400m,23,16
1141;1147_400-800m,4,1
1132;1155;1156_0-400m,12,3
1132;1155;1156_400-800m,9,11
1133;1154_0-400m,9,16
1133;1154_400-800m,15,14
1130;1159;1160_0-400m,31,16
1130;1159;1160_400-800m,1,0
345;347_0-400m,62,29
345;347_400-800m,108,79
344;348_0-400m,49,20
344;348_400-800m,53,32
1140;1148_0-400m,24,22
1140;1148_400-800m,22,15
1127;1161_0-400m,43,22
1127;1161_400-800m,2,0
1855_0-400m,3,0
1855_400-800m,1,3
187;204_0-400m,31,9
187;204_400-800m,10,6
661;674_0-400m,31,13
661;674_400-800m,4,5
184;207_0-400m,21,17
184;207_400-800m,11,2
657;678_0-400m,23,11
657;678_400-800m,8,1
656;679_0-400m,30,13
656;679_400-800m,10,3
1383;1461;1384_0-400m,50,23
1383;1461;1384_400-800m,34,22
665;670_0-400m,12,3
665;670_400-800m,11,6
659;676;675_0-400m,29,11
659;676;675_400-800m,8,3
664;671_0-400m,40,16
664;671_400-800m,22,7
185;206_0-400m,37,15
185;206_400-800m,2,8
662;673_0-400m,41,27
662;673_400-800m,30,18
1385;1459_0-400m,66,22
1385;1459_400-800m,29,8
658;677_0-400m,16,11
658;677_400-800m,2,0
663;672_0-400m,17,15
663;672_400-800m,5,5
183;209_0-400m,17,15
183;209_400-800m,15,6
186;205_0-400m,21,4
186;205_400-800m,0,0
188;203_0-400m,38,29
188;203_400-800m,29,22
388;823_0-400m,74,18
388;823_400-800m,46,16
1386;95_0-400m,52,20
1386;95_400-800m,13,17
