Origin,Destination,Date range: 2024-08-01 - 2024-08-28 Time range: 04:00 - 06:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 04:00 - 06:00 Percent,Date range: 2024-08-01 - 2024-08-28 Time range: 06:00 - 09:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 06:00 - 09:00 Percent,Date range: 2024-08-01 - 2024-08-28 Time range: 09:00 - 15:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 09:00 - 15:00 Percent,Date range: 2024-08-01 - 2024-08-28 Time range: 15:00 - 18:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 15:00 - 18:00 Percent,Date range: 2024-08-01 - 2024-08-28 Time range: 18:00 - 22:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 18:00 - 22:00 Percent,Date range: 2024-08-01 - 2024-08-28 Time range: 22:00 - 00:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 22:00 - 00:00 Percent
Region 1,Region 1,1830,2.763,14876,2.564,57439,3.526,32998,3.509,30549,3.764,7453,4.381
Region 1,Region 2,5067,7.65,38313,6.603,140498,8.625,82515,8.776,76530,9.429,18405,10.82
Region 1,External,4050,6.115,27970,4.821,78362,4.811,51387,5.465,38677,4.765,7935,4.665
Region 2,Region 1,4643,7.01,41440,7.142,143066,8.783,81426,8.66,74841,9.221,17656,10.379
Region 2,Region 2,16621,25.095,146500,25.249,496431,30.475,282260,30.019,254938,31.411,55394,32.564
Region 2,External,16280,24.581,117061,20.175,312860,19.206,192131,20.434,142293,17.532,25148,14.784
External,Region 1,3315,5.005,42568,7.337,83505,5.126,44305,4.712,40376,4.975,8196,4.818
External,Region 2,14425,21.78,151494,26.11,316817,19.449,173249,18.425,153418,18.903,29919,17.588
External,External,0,0,0,0,0,0,0,0,0,0,0,0
