Origin,Trips to 0-400m regions,Trips to 400-800m regions
415;448_0-400m,1212,668
415;448_400-800m,372,314
408;455_0-400m,747,306
408;455_400-800m,408,295
412;451_0-400m,840,383
412;451_400-800m,871,618
416;447_0-400m,791,402
416;447_400-800m,1156,822
410;452_0-400m,990,458
410;452_400-800m,732,500
414;449_0-400m,743,352
414;449_400-800m,481,350
407;456_0-400m,564,260
407;456_400-800m,667,457
413;450_0-400m,876,431
413;450_400-800m,996,689
419;444;420_0-400m,2158,1188
419;444;420_400-800m,827,613
417;445_0-400m,929,467
417;445_400-800m,1154,832
405;457_0-400m,1782,987
405;457_400-800m,97,80
404;459_0-400m,2276,1271
404;459_400-800m,2060,1197
421;442_0-400m,3319,1891
421;442_400-800m,914,688
196;24;1508_0-400m,2524,1163
196;24;1508_400-800m,519,386
409;453_0-400m,923,441
409;453_400-800m,854,557
1503_0-400m,2450,1216
1503_400-800m,312,218
1125;1163;1162_0-400m,484,234
1125;1163;1162_400-800m,43,25
1134;1153_0-400m,178,84
1134;1153_400-800m,243,175
21;28;1612_0-400m,2109,1119
21;28;1612_400-800m,1283,837
1131;1158_0-400m,512,184
1131;1158_400-800m,299,194
1135;1152_0-400m,473,231
1135;1152_400-800m,103,51
584;604_0-400m,584,307
584;604_400-800m,731,458
1139;1149_0-400m,789,326
1139;1149_400-800m,106,55
1138;1150;1137_0-400m,972,475
1138;1150;1137_400-800m,90,57
1124;1164_0-400m,836,394
1124;1164_400-800m,1627,1116
343;349_0-400m,772,376
343;349_400-800m,245,160
1136;1151_0-400m,533,218
1136;1151_400-800m,222,148
342;350_0-400m,1044,494
342;350_400-800m,342,186
1141;1147_0-400m,482,243
1141;1147_400-800m,133,55
1132;1155;1156_0-400m,528,252
1132;1155;1156_400-800m,261,132
1133;1154_0-400m,398,155
1133;1154_400-800m,242,138
1130;1159;1160_0-400m,1154,610
1130;1159;1160_400-800m,15,12
345;347_0-400m,1097,553
345;347_400-800m,2088,1448
344;348_0-400m,782,412
344;348_400-800m,784,518
1140;1148_0-400m,627,280
1140;1148_400-800m,333,192
1127;1161_0-400m,1102,505
1127;1161_400-800m,35,10
1855_0-400m,429,188
1855_400-800m,79,73
187;204_0-400m,569,181
187;204_400-800m,191,141
661;674_0-400m,833,280
661;674_400-800m,291,163
184;207_0-400m,595,222
184;207_400-800m,242,135
657;678_0-400m,663,255
657;678_400-800m,106,62
656;679_0-400m,1170,445
656;679_400-800m,130,55
1383;1461;1384_0-400m,1315,581
1383;1461;1384_400-800m,557,352
665;670_0-400m,562,242
665;670_400-800m,294,209
659;676;675_0-400m,1143,390
659;676;675_400-800m,342,210
664;671_0-400m,1305,672
664;671_400-800m,709,466
185;206_0-400m,678,195
185;206_400-800m,196,112
662;673_0-400m,2108,1005
662;673_400-800m,903,624
1385;1459_0-400m,2374,1078
1385;1459_400-800m,330,219
658;677_0-400m,546,243
658;677_400-800m,52,32
663;672_0-400m,1194,629
663;672_400-800m,565,414
183;209_0-400m,846,361
183;209_400-800m,476,209
186;205_0-400m,479,183
186;205_400-800m,49,19
188;203_0-400m,1262,479
188;203_400-800m,922,512
388;823_0-400m,4518,1707
388;823_400-800m,1192,491
1386;95_0-400m,1615,722
1386;95_400-800m,383,263
