Origin,0-800m Trips,0-1600m Trips,800-1600m Trips
415;448,126,135,42
408;455,118,122,39
412;451,126,171,78
416;447,116,209,124
410;452,115,163,75
414;449,99,126,66
407;456,52,123,59
413;450,122,278,179
419;444;420,240,314,122
417;445,113,227,138
405;457,201,134,4
404;459,263,321,101
421;442,398,429,131
196;24;1508,320,218,52
409;453,124,195,102
1503,417,335,57
1125;1163;1162,59,17,6
1134;1153,25,46,19
21;28;1612,407,466,162
1131;1158,52,65,22
1135;1152,60,47,8
584;604,110,137,71
1139;1149,120,84,11
1138;1150;1137,131,97,6
1124;1164,93,172,81
343;349,100,104,28
1136;1151,63,49,23
342;350,162,134,27
1141;1147,61,46,7
1132;1155;1156,55,56,24
1133;1154,51,57,24
1130;1159;1160,149,91,1
345;347,167,478,301
344;348,117,172,87
1140;1148,103,94,35
1127;1161,85,49,0
1855,24,18,4
187;204,67,56,18
661;674,67,58,19
184;207,97,61,4
657;678,85,52,2
656;679,117,55,7
1383;1461;1384,208,192,55
665;670,87,79,34
659;676;675,109,94,16
664;671,186,190,93
185;206,89,62,14
662;673,255,214,71
1385;1459,241,159,36
658;677,73,46,3
663;672,174,108,55
183;209,89,60,18
186;205,61,39,4
188;203,163,218,90
388;823,371,275,66
1386;95,248,180,35
