origin,time,corridor,onboardings,car_trips_0_800m,car_trips_0_1600m,car_trips_800_1600m,bus_ratio_near,bus_ratio_all,bus_ratio_near_projected,projected_ridership,ridership_increase
1131;1158,06:00 - 09:00,Blue,40,134,209,78,0.229885,0.086768,0.407429,70.892568,30.892568
1135;1152,06:00 - 09:00,Blue,7,177,107,19,0.038043,0.022581,0.211423,38.901751,31.901751
584;604,06:00 - 09:00,Blue,113,193,352,157,0.369281,0.138650,0.542524,166.012284,53.012284
1139;1149,06:00 - 09:00,Blue,4,251,187,20,0.015686,0.008658,0.188888,48.166435,44.166435
1138;1150;1137,06:00 - 09:00,Blue,118,270,198,27,0.304124,0.192496,0.478649,185.715990,67.715990
1124;1164,06:00 - 09:00,Blue,23,268,441,196,0.079038,0.024784,0.256468,74.632313,51.632313
343;349,06:00 - 09:00,Blue,142,266,200,51,0.348039,0.215478,0.511505,208.693942,66.693942
1136;1151,06:00 - 09:00,Blue,15,160,184,64,0.085714,0.035461,0.259055,45.334617,30.334617
342;350,06:00 - 09:00,Blue,233,389,293,56,0.374598,0.239959,0.538183,334.749766,101.749766
1141;1147,06:00 - 09:00,Blue,17,200,122,21,0.078341,0.047222,0.251483,54.571890,37.571890
1132;1155;1156,06:00 - 09:00,Blue,25,118,178,55,0.174825,0.066489,0.349699,50.006934,25.006934
1133;1154,06:00 - 09:00,Blue,41,151,158,65,0.213542,0.098795,0.387073,74.318035,33.318035
1130;1159;1160,06:00 - 09:00,Blue,23,262,173,2,0.080702,0.050000,0.258324,73.622211,50.622211
345;347,06:00 - 09:00,Blue,1,366,807,459,0.002725,0.000612,0.165712,60.816291,59.816291
344;348,06:00 - 09:00,Blue,235,289,403,211,0.448473,0.206503,0.611643,320.500906,85.500906
1140;1148,06:00 - 09:00,Blue,155,257,241,88,0.376214,0.209177,0.549405,226.354911,71.354911
1127;1161,06:00 - 09:00,Blue,7,293,150,9,0.023333,0.015251,0.200887,60.265991,53.265991
1855,06:00 - 09:00,Blue,72,43,25,19,0.626087,0.452830,0.803725,92.428395,20.428395
187;204,06:00 - 09:00,Green,118,148,147,34,0.443609,0.263982,0.449378,119.534672,1.534672
661;674,06:00 - 09:00,Green,70,169,172,43,0.292887,0.154185,0.299461,71.571144,1.571144
184;207,06:00 - 09:00,Green,411,185,134,33,0.689597,0.538663,0.695406,414.461703,3.461703
657;678,06:00 - 09:00,Green,57,163,128,20,0.259091,0.154891,0.265919,58.502244,1.502244
656;679,06:00 - 09:00,Green,178,246,166,20,0.419811,0.291803,0.426639,180.895059,2.895059
1383;1461;1384,06:00 - 09:00,Green,93,359,347,107,0.205752,0.102649,0.211417,95.560576,2.560576
665;670,06:00 - 09:00,Green,41,104,140,58,0.282759,0.119534,0.288498,41.832239,0.832239
659;676;675,06:00 - 09:00,Green,17,301,273,96,0.053459,0.024745,0.059834,19.027346,2.027346
664;671,06:00 - 09:00,Green,212,349,308,77,0.377897,0.224101,0.383644,215.224392,3.224392
185;206,06:00 - 09:00,Green,165,223,153,23,0.425258,0.292553,0.431052,167.248084,2.248084
662;673,06:00 - 09:00,Green,22,601,469,133,0.035313,0.017959,0.041066,25.584412,3.584412
1385;1459,06:00 - 09:00,Green,48,576,382,67,0.076923,0.044734,0.082663,51.581869,3.581869
658;677,06:00 - 09:00,Green,16,116,79,6,0.121212,0.073733,0.128040,16.901318,0.901318
663;672,06:00 - 09:00,Green,34,335,251,63,0.092141,0.049780,0.097894,36.122828,2.122828
183;209,06:00 - 09:00,Green,414,209,228,41,0.664526,0.464126,0.670367,417.638776,3.638776
186;205,06:00 - 09:00,Green,96,160,76,1,0.375000,0.288288,0.380777,97.478859,1.478859
188;203,06:00 - 09:00,Green,431,360,472,222,0.544880,0.290236,0.550642,435.557923,4.557923
388;823,06:00 - 09:00,Green,370,612,618,138,0.376782,0.212888,0.383320,376.419778,6.419778
1386;95,06:00 - 09:00,Green,20,393,286,59,0.048426,0.026385,0.054197,22.383555,2.383555
415;448,09:00 - 15:00,Orange,1877,1212,1040,314,0.607640,0.422462,0.670087,2069.899698,192.899698
408;455,09:00 - 15:00,Orange,1105,747,714,295,0.596652,0.386229,0.658307,1219.185447,114.185447
412;451,09:00 - 15:00,Orange,597,840,1254,618,0.415449,0.180417,0.477670,686.412095,89.412095
416;447,09:00 - 15:00,Orange,488,791,1558,822,0.381548,0.133370,0.444111,568.018137,80.018137
410;452,09:00 - 15:00,Orange,1816,990,1190,500,0.647185,0.403915,0.709476,1990.788640,174.788640
414;449,09:00 - 15:00,Orange,1078,743,833,350,0.591982,0.358855,0.654361,1191.591659,113.591659
407;456,09:00 - 15:00,Orange,471,564,927,457,0.455072,0.194709,0.516569,534.648967,63.648967
413;450,09:00 - 15:00,Orange,823,876,1427,689,0.484403,0.215727,0.546703,928.848174,105.848174
419;444;420,09:00 - 15:00,Orange,3833,2158,2015,613,0.639793,0.444715,0.705385,4225.960831,392.960831
417;445,09:00 - 15:00,Orange,1821,929,1621,832,0.662182,0.349990,0.724855,1993.350231,172.350231
405;457,09:00 - 15:00,Orange,3571,1782,1084,80,0.667103,0.547952,0.728113,3897.591467,326.591467
404;459,09:00 - 15:00,Orange,208,2276,3331,1197,0.083736,0.029663,0.147808,367.155249,159.155249
421;442,09:00 - 15:00,Orange,2082,3319,2805,688,0.385484,0.234090,0.449098,2425.576367,343.576367
196;24;1508,09:00 - 15:00,Orange,2505,2524,1682,386,0.498111,0.352966,0.559543,2813.941710,308.941710
409;453,09:00 - 15:00,Orange,1229,923,1295,557,0.571097,0.306943,0.632959,1362.127717,133.127717
1503,09:00 - 15:00,all,24474,2450,1528,218,0.909003,0.853645,0.969301,26097.453390,1623.453390
1125;1163;1162,09:00 - 15:00,Blue,199,484,277,25,0.291362,0.202030,0.363025,247.945779,48.945779
1134;1153,09:00 - 15:00,Blue,59,178,327,175,0.248945,0.079838,0.322339,76.394293,17.394293
21;28;1612,09:00 - 15:00,Blue,78,2109,2402,837,0.035665,0.014375,0.104646,228.860795,150.860795
1131;1158,09:00 - 15:00,Blue,41,512,483,194,0.074141,0.033333,0.146381,80.948626,39.948626
1135;1152,09:00 - 15:00,Blue,44,473,334,51,0.085106,0.048780,0.158607,81.999769,37.999769
584;604,09:00 - 15:00,Blue,211,584,1038,458,0.265409,0.092100,0.339190,269.656171,58.656171
1139;1149,09:00 - 15:00,Blue,60,789,432,55,0.070671,0.044910,0.144527,122.703605,62.703605
1138;1150;1137,09:00 - 15:00,Blue,428,972,565,57,0.305714,0.211672,0.379980,531.971310,103.971310
1124;1164,09:00 - 15:00,Blue,48,836,2021,1116,0.054299,0.011937,0.126612,111.925044,63.925044
343;349,09:00 - 15:00,Blue,532,772,621,160,0.407975,0.255156,0.478753,624.293578,92.293578
1136;1151,09:00 - 15:00,Blue,65,533,440,148,0.108696,0.054806,0.182287,109.007494,44.007494
342;350,09:00 - 15:00,Blue,540,1044,836,186,0.340909,0.207214,0.411620,652.006717,112.006717
1141;1147,09:00 - 15:00,Blue,83,482,376,55,0.146903,0.083333,0.220905,124.811415,41.811415
1132;1155;1156,09:00 - 15:00,Blue,128,528,513,132,0.195122,0.098386,0.267169,175.263141,47.263141
1133;1154,09:00 - 15:00,Blue,98,398,397,138,0.197581,0.095053,0.270905,134.368970,36.368970
1130;1159;1160,09:00 - 15:00,Blue,130,1154,625,12,0.101246,0.067673,0.172870,221.965544,91.965544
345;347,09:00 - 15:00,Blue,9,1097,2641,1448,0.008137,0.001732,0.077179,85.359682,76.359682
344;348,09:00 - 15:00,Blue,546,782,1196,518,0.411145,0.179487,0.482008,640.106211,94.106211
1140;1148,09:00 - 15:00,Blue,92,627,613,192,0.127955,0.060367,0.201892,145.160069,53.160069
1127;1161,09:00 - 15:00,Blue,28,1102,540,10,0.024779,0.016667,0.097016,109.628593,81.628593
1855,09:00 - 15:00,Blue,826,429,267,73,0.658167,0.517868,0.732208,918.920583,92.920583
187;204,09:00 - 15:00,Green,464,569,372,141,0.449177,0.300129,0.495536,511.888560,47.888560
661;674,09:00 - 15:00,Green,160,833,571,163,0.161128,0.092646,0.208925,207.462787,47.462787
184;207,09:00 - 15:00,Green,797,595,464,135,0.572557,0.400301,0.619352,862.137525,65.137525
657;678,09:00 - 15:00,Green,260,663,361,62,0.281690,0.193165,0.329687,304.301261,44.301261
656;679,09:00 - 15:00,Green,763,1170,575,55,0.394723,0.297698,0.442795,855.922072,92.922072
1383;1461;1384,09:00 - 15:00,Green,618,1315,1138,352,0.319710,0.180543,0.364862,705.277499,87.277499
665;670,09:00 - 15:00,Green,206,562,536,209,0.268229,0.136153,0.314136,241.256765,35.256765
659;676;675,09:00 - 15:00,Green,59,1143,732,210,0.049085,0.027519,0.096599,116.111525,57.111525
664;671,09:00 - 15:00,Green,741,1305,1381,466,0.362170,0.190342,0.408087,834.946732,93.946732
185;206,09:00 - 15:00,Green,544,678,391,112,0.445172,0.315362,0.491817,600.999880,56.999880
662;673,09:00 - 15:00,Green,37,2108,1908,624,0.017249,0.007911,0.063375,135.938610,98.938610
1385;1459,09:00 - 15:00,Green,206,2374,1408,219,0.079845,0.048966,0.125795,324.551656,118.551656
658;677,09:00 - 15:00,Green,87,546,295,32,0.137441,0.090625,0.185399,117.357803,30.357803
663;672,09:00 - 15:00,Green,212,1194,1194,414,0.150782,0.070338,0.196723,276.592456,64.592456
183;209,09:00 - 15:00,Green,1927,846,837,209,0.694915,0.504582,0.742035,2057.662558,130.662558
186;205,09:00 - 15:00,Green,150,479,232,19,0.238474,0.170455,0.284924,179.217082,29.217082
188;203,09:00 - 15:00,Green,1695,1262,1401,512,0.573216,0.348049,0.619447,1831.705557,136.705557
388;823,09:00 - 15:00,Green,2851,4518,2899,491,0.386891,0.264987,0.434894,3204.730288,353.730288
1386;95,09:00 - 15:00,Green,126,1615,1105,263,0.072372,0.040528,0.118452,206.225212,80.225212
415;448,15:00 - 18:00,Orange,746,658,593,170,0.531339,0.344255,0.593962,833.923204,87.923204
408;455,15:00 - 18:00,Orange,401,389,384,152,0.507595,0.302413,0.567941,448.673169,47.673169
412;451,15:00 - 18:00,Orange,247,467,683,334,0.345938,0.142692,0.407490,290.948066,43.948066
416;447,15:00 - 18:00,Orange,190,526,921,435,0.265363,0.091699,0.328287,235.053321,45.053321
410;452,15:00 - 18:00,Orange,922,568,750,319,0.618792,0.360297,0.680522,1013.977954,91.977954
414;449,15:00 - 18:00,Orange,300,353,485,208,0.459418,0.222883,0.521926,340.817891,40.817891
407;456,15:00 - 18:00,Orange,129,278,536,258,0.316953,0.107410,0.377368,153.588655,24.588655
413;450,15:00 - 18:00,Orange,347,501,903,454,0.409198,0.157370,0.471108,399.499227,52.499227
419;444;420,15:00 - 18:00,Orange,1382,1162,1138,409,0.543239,0.337815,0.611583,1555.865939,173.865939
417;445,15:00 - 18:00,Orange,655,492,908,487,0.571055,0.257671,0.634210,727.439091,72.439091
405;457,15:00 - 18:00,Orange,1327,1032,620,40,0.562526,0.439550,0.624104,1472.260468,145.260468
404;459,15:00 - 18:00,Orange,100,1279,1898,674,0.072516,0.025310,0.134970,186.123579,86.123579
421;442,15:00 - 18:00,Orange,672,1838,1718,385,0.267729,0.145675,0.332929,835.652194,163.652194
196;24;1508,15:00 - 18:00,Orange,1235,1442,1098,204,0.461337,0.310379,0.522414,1398.503414,163.503414
409;453,15:00 - 18:00,Orange,607,477,702,277,0.559963,0.294232,0.621604,673.818377,66.818377
1503,15:00 - 18:00,all,11640,1482,1042,155,0.887060,0.812906,0.953414,12510.700936,870.700936
