Origin,Trips to 0-400m regions,Trips to 400-800m regions
415;448_0-400m,658,380
415;448_400-800m,213,170
408;455_0-400m,389,177
408;455_400-800m,207,152
412;451_0-400m,467,232
412;451_400-800m,451,334
416;447_0-400m,526,266
416;447_400-800m,655,435
410;452_0-400m,568,277
410;452_400-800m,473,319
414;449_0-400m,353,194
414;449_400-800m,291,208
407;456_0-400m,278,160
407;456_400-800m,376,258
413;450_0-400m,501,292
413;450_400-800m,611,454
419;444;420_0-400m,1162,669
419;444;420_400-800m,469,409
417;445_0-400m,492,253
417;445_400-800m,655,487
405;457_0-400m,1032,560
405;457_400-800m,60,40
404;459_0-400m,1279,742
404;459_400-800m,1156,674
421;442_0-400m,1838,1155
421;442_400-800m,563,385
196;24;1508_0-400m,1442,751
196;24;1508_400-800m,347,204
409;453_0-400m,477,248
409;453_400-800m,454,277
1503_0-400m,1482,851
1503_400-800m,191,155
1125;1163;1162_0-400m,232,98
1125;1163;1162_400-800m,25,17
1134;1153_0-400m,107,59
1134;1153_400-800m,147,107
21;28;1612_0-400m,1235,641
21;28;1612_400-800m,749,480
1131;1158_0-400m,316,154
1131;1158_400-800m,201,101
1135;1152_0-400m,319,155
1135;1152_400-800m,50,29
584;604_0-400m,322,142
584;604_400-800m,391,292
1139;1149_0-400m,408,179
1139;1149_400-800m,74,22
1138;1150;1137_0-400m,568,294
1138;1150;1137_400-800m,27,32
1124;1164_0-400m,536,261
1124;1164_400-800m,900,681
343;349_0-400m,398,202
343;349_400-800m,175,73
1136;1151_0-400m,295,116
1136;1151_400-800m,103,106
342;350_0-400m,648,279
342;350_400-800m,150,84
1141;1147_0-400m,309,154
1141;1147_400-800m,72,31
1132;1155;1156_0-400m,342,121
1132;1155;1156_400-800m,134,84
1133;1154_0-400m,251,89
1133;1154_400-800m,149,85
1130;1159;1160_0-400m,628,349
1130;1159;1160_400-800m,13,4
345;347_0-400m,591,305
345;347_400-800m,1132,803
344;348_0-400m,427,220
344;348_400-800m,435,326
1140;1148_0-400m,333,168
1140;1148_400-800m,176,103
1127;1161_0-400m,551,285
1127;1161_400-800m,23,10
1855_0-400m,263,137
1855_400-800m,45,28
187;204_0-400m,362,155
187;204_400-800m,135,76
661;674_0-400m,452,153
661;674_400-800m,180,100
184;207_0-400m,362,132
184;207_400-800m,189,103
657;678_0-400m,438,172
657;678_400-800m,103,46
656;679_0-400m,738,273
656;679_400-800m,61,51
1383;1461;1384_0-400m,806,347
1383;1461;1384_400-800m,360,215
665;670_0-400m,324,134
665;670_400-800m,208,116
659;676;675_0-400m,609,235
659;676;675_400-800m,183,123
664;671_0-400m,723,424
664;671_400-800m,404,317
185;206_0-400m,422,139
185;206_400-800m,131,73
662;673_0-400m,1234,664
662;673_400-800m,570,322
1385;1459_0-400m,1277,600
1385;1459_400-800m,171,120
658;677_0-400m,466,197
658;677_400-800m,37,15
663;672_0-400m,793,407
663;672_400-800m,327,239
183;209_0-400m,490,190
183;209_400-800m,356,152
186;205_0-400m,299,127
186;205_400-800m,27,17
188;203_0-400m,820,384
188;203_400-800m,581,360
388;823_0-400m,2766,1064
388;823_400-800m,695,287
1386;95_0-400m,1097,518
1386;95_400-800m,210,127
