Origin,Trips to 0-400m regions,Trips to 400-800m regions
415;448_0-400m,325,179
415;448_400-800m,116,89
408;455_0-400m,279,108
408;455_400-800m,144,80
412;451_0-400m,262,137
412;451_400-800m,296,190
416;447_0-400m,232,94
416;447_400-800m,297,180
410;452_0-400m,255,95
410;452_400-800m,199,120
414;449_0-400m,238,94
414;449_400-800m,130,97
407;456_0-400m,151,77
407;456_400-800m,202,107
413;450_0-400m,289,117
413;450_400-800m,251,175
419;444;420_0-400m,541,278
419;444;420_400-800m,250,169
417;445_0-400m,291,118
417;445_400-800m,354,191
405;457_0-400m,398,175
405;457_400-800m,26,13
404;459_0-400m,626,272
404;459_400-800m,525,256
421;442_0-400m,741,427
421;442_400-800m,269,212
196;24;1508_0-400m,523,200
196;24;1508_400-800m,116,123
409;453_0-400m,269,135
409;453_400-800m,257,178
1503_0-400m,722,383
1503_400-800m,42,55
1125;1163;1162_0-400m,157,44
1125;1163;1162_400-800m,16,4
1134;1153_0-400m,61,23
1134;1153_400-800m,82,41
21;28;1612_0-400m,630,307
21;28;1612_400-800m,269,149
1131;1158_0-400m,134,70
1131;1158_400-800m,139,78
1135;1152_0-400m,177,71
1135;1152_400-800m,36,19
584;604_0-400m,193,97
584;604_400-800m,255,157
1139;1149_0-400m,251,140
1139;1149_400-800m,47,20
1138;1150;1137_0-400m,270,157
1138;1150;1137_400-800m,41,27
1124;1164_0-400m,268,106
1124;1164_400-800m,335,196
343;349_0-400m,266,111
343;349_400-800m,89,51
1136;1151_0-400m,160,78
1136;1151_400-800m,106,64
342;350_0-400m,389,175
342;350_400-800m,118,56
1141;1147_0-400m,200,67
1141;1147_400-800m,55,21
1132;1155;1156_0-400m,118,79
1132;1155;1156_400-800m,99,55
1133;1154_0-400m,151,55
1133;1154_400-800m,103,65
1130;1159;1160_0-400m,262,162
1130;1159;1160_400-800m,11,2
345;347_0-400m,366,160
345;347_400-800m,647,459
344;348_0-400m,289,117
344;348_400-800m,286,211
1140;1148_0-400m,257,126
1140;1148_400-800m,115,88
1127;1161_0-400m,293,122
1127;1161_400-800m,28,9
1855_0-400m,43,9
1855_400-800m,16,19
187;204_0-400m,148,70
187;204_400-800m,77,34
661;674_0-400m,169,81
661;674_400-800m,91,43
184;207_0-400m,185,55
184;207_400-800m,79,33
657;678_0-400m,163,98
657;678_400-800m,30,20
656;679_0-400m,246,99
656;679_400-800m,67,20
1383;1461;1384_0-400m,359,162
1383;1461;1384_400-800m,185,107
665;670_0-400m,104,55
665;670_400-800m,85,58
659;676;675_0-400m,301,137
659;676;675_400-800m,136,96
664;671_0-400m,349,160
664;671_400-800m,148,77
185;206_0-400m,223,81
185;206_400-800m,72,23
662;673_0-400m,601,257
662;673_400-800m,212,133
1385;1459_0-400m,576,239
1385;1459_400-800m,143,67
658;677_0-400m,116,70
658;677_400-800m,9,6
663;672_0-400m,335,148
663;672_400-800m,103,63
183;209_0-400m,209,105
183;209_400-800m,123,41
186;205_0-400m,160,59
186;205_400-800m,17,1
188;203_0-400m,360,156
188;203_400-800m,316,222
388;823_0-400m,612,234
388;823_400-800m,384,138
1386;95_0-400m,393,202
1386;95_400-800m,84,59
