Origin,Trips to 0-400m regions,Trips to 400-800m regions
415;448_0-400m,126,82
415;448_400-800m,53,42
408;455_0-400m,118,64
408;455_400-800m,58,39
412;451_0-400m,126,53
412;451_400-800m,118,78
416;447_0-400m,116,52
416;447_400-800m,157,124
410;452_0-400m,115,65
410;452_400-800m,98,75
414;449_0-400m,99,45
414;449_400-800m,81,66
407;456_0-400m,52,27
407;456_400-800m,96,59
413;450_0-400m,122,63
413;450_400-800m,215,179
419;444;420_0-400m,240,166
419;444;420_400-800m,148,122
417;445_0-400m,113,74
417;445_400-800m,153,138
405;457_0-400m,201,124
405;457_400-800m,10,4
404;459_0-400m,263,164
404;459_400-800m,157,101
421;442_0-400m,398,259
421;442_400-800m,170,131
196;24;1508_0-400m,320,158
196;24;1508_400-800m,60,52
409;453_0-400m,124,75
409;453_400-800m,120,102
1503_0-400m,417,257
1503_400-800m,78,57
1125;1163;1162_0-400m,59,17
1125;1163;1162_400-800m,0,6
1134;1153_0-400m,25,14
1134;1153_400-800m,32,19
21;28;1612_0-400m,407,238
21;28;1612_400-800m,228,162
1131;1158_0-400m,52,35
1131;1158_400-800m,30,22
1135;1152_0-400m,60,41
1135;1152_400-800m,6,8
584;604_0-400m,110,49
584;604_400-800m,88,71
1139;1149_0-400m,120,69
1139;1149_400-800m,15,11
1138;1150;1137_0-400m,131,89
1138;1150;1137_400-800m,8,6
1124;1164_0-400m,93,59
1124;1164_400-800m,113,81
343;349_0-400m,100,70
343;349_400-800m,34,28
1136;1151_0-400m,63,28
1136;1151_400-800m,21,23
342;350_0-400m,162,97
342;350_400-800m,37,27
1141;1147_0-400m,61,38
1141;1147_400-800m,8,7
1132;1155;1156_0-400m,55,35
1132;1155;1156_400-800m,21,24
1133;1154_0-400m,51,28
1133;1154_400-800m,29,24
1130;1159;1160_0-400m,149,85
1130;1159;1160_400-800m,6,1
345;347_0-400m,167,134
345;347_400-800m,344,301
344;348_0-400m,117,68
344;348_400-800m,104,87
1140;1148_0-400m,103,44
1140;1148_400-800m,50,35
1127;1161_0-400m,85,47
1127;1161_400-800m,2,0
1855_0-400m,24,8
1855_400-800m,10,4
187;204_0-400m,67,31
187;204_400-800m,25,18
661;674_0-400m,67,31
661;674_400-800m,27,19
184;207_0-400m,97,39
184;207_400-800m,22,4
657;678_0-400m,85,50
657;678_400-800m,2,2
656;679_0-400m,117,45
656;679_400-800m,10,7
1383;1461;1384_0-400m,208,99
1383;1461;1384_400-800m,93,55
665;670_0-400m,87,38
665;670_400-800m,41,34
659;676;675_0-400m,109,65
659;676;675_400-800m,29,16
664;671_0-400m,186,87
664;671_400-800m,103,93
185;206_0-400m,89,45
185;206_400-800m,17,14
662;673_0-400m,255,110
662;673_400-800m,104,71
1385;1459_0-400m,241,121
1385;1459_400-800m,38,36
658;677_0-400m,73,44
658;677_400-800m,2,3
663;672_0-400m,174,58
663;672_400-800m,50,55
183;209_0-400m,89,22
183;209_400-800m,38,18
186;205_0-400m,61,33
186;205_400-800m,6,4
188;203_0-400m,163,74
188;203_400-800m,144,90
388;823_0-400m,371,159
388;823_400-800m,116,66
1386;95_0-400m,248,149
1386;95_400-800m,31,35
