Origin,Destination,Date range: 2024-08-01 - 2024-08-28 Time range: 04:00 - 06:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 04:00 - 06:00 Percent,Date range: 2024-08-01 - 2024-08-28 Time range: 06:00 - 09:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 06:00 - 09:00 Percent,Date range: 2024-08-01 - 2024-08-28 Time range: 09:00 - 15:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 09:00 - 15:00 Percent,Date range: 2024-08-01 - 2024-08-28 Time range: 15:00 - 18:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 15:00 - 18:00 Percent,Date range: 2024-08-01 - 2024-08-28 Time range: 18:00 - 22:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 18:00 - 22:00 Percent,Date range: 2024-08-01 - 2024-08-28 Time range: 22:00 - 00:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 22:00 - 00:00 Percent
415;448_0-400m,415;448_0-400m,5,0.015,29,0.011,112,0.014,43,0.009,58,0.015,12,0.015
415;448_0-400m,415;448_400-800m,1,0.003,6,0.002,26,0.003,10,0.002,16,0.004,1,0.001
415;448_0-400m,408;455_0-400m,0,0,6,0.002,42,0.005,15,0.003,29,0.007,4,0.005
415;448_0-400m,408;455_400-800m,1,0.003,4,0.001,9,0.001,7,0.002,8,0.002,0,0
415;448_0-400m,412;451_0-400m,2,0.006,10,0.004,35,0.004,27,0.006,15,0.004,4,0.005
415;448_0-400m,412;451_400-800m,1,0.003,10,0.004,48,0.006,21,0.005,24,0.006,4,0.005
415;448_0-400m,416;447_0-400m,2,0.006,17,0.006,67,0.009,23,0.005,20,0.005,5,0.006
415;448_0-400m,416;447_400-800m,1,0.003,11,0.004,60,0.008,35,0.008,36,0.009,5,0.006
415;448_0-400m,410;452_0-400m,0,0,9,0.003,60,0.008,25,0.005,9,0.002,2,0.002
415;448_0-400m,410;452_400-800m,1,0.003,3,0.001,39,0.005,18,0.004,26,0.007,5,0.006
415;448_0-400m,414;449_0-400m,0,0,14,0.005,60,0.008,41,0.009,21,0.005,6,0.007
415;448_0-400m,414;449_400-800m,1,0.003,14,0.005,37,0.005,16,0.004,22,0.006,8,0.01
415;448_0-400m,407;456_0-400m,1,0.003,2,0.001,13,0.002,10,0.002,5,0.001,4,0.005
415;448_0-400m,407;456_400-800m,0,0,1,0,12,0.002,10,0.002,8,0.002,1,0.001
415;448_0-400m,413;450_0-400m,1,0.003,11,0.004,43,0.005,15,0.003,23,0.006,3,0.004
415;448_0-400m,413;450_400-800m,0,0,10,0.004,61,0.008,37,0.008,46,0.012,11,0.014
415;448_0-400m,419;444;420_0-400m,4,0.012,19,0.007,69,0.009,53,0.012,33,0.008,7,0.009
415;448_0-400m,419;444;420_400-800m,0,0,13,0.005,30,0.004,15,0.003,12,0.003,4,0.005
415;448_0-400m,417;445_0-400m,1,0.003,11,0.004,38,0.005,27,0.006,11,0.003,7,0.009
415;448_0-400m,417;445_400-800m,1,0.003,10,0.004,39,0.005,31,0.007,16,0.004,2,0.002
415;448_0-400m,405;457_0-400m,3,0.009,7,0.003,48,0.006,27,0.006,20,0.005,4,0.005
415;448_0-400m,405;457_400-800m,0,0,0,0,1,0,1,0,3,0.001,0,0
415;448_0-400m,404;459_0-400m,1,0.003,4,0.001,37,0.005,25,0.005,16,0.004,3,0.004
415;448_0-400m,404;459_400-800m,2,0.006,5,0.002,47,0.006,30,0.007,23,0.006,4,0.005
415;448_0-400m,421;442_0-400m,3,0.009,32,0.012,87,0.011,43,0.009,42,0.011,4,0.005
415;448_0-400m,421;442_400-800m,0,0,3,0.001,20,0.003,14,0.003,10,0.003,0,0
415;448_0-400m,196;24;1508_0-400m,5,0.015,12,0.004,34,0.004,29,0.006,16,0.004,5,0.006
415;448_0-400m,196;24;1508_400-800m,0,0,2,0.001,11,0.001,6,0.001,2,0.001,4,0.005
415;448_0-400m,409;453_0-400m,0,0,8,0.003,42,0.005,19,0.004,25,0.006,0,0
415;448_0-400m,409;453_400-800m,0,0,8,0.003,18,0.002,8,0.002,11,0.003,2,0.002
415;448_0-400m,1503_0-400m,0,0,13,0.005,52,0.007,33,0.007,23,0.006,7,0.009
415;448_0-400m,1503_400-800m,0,0,1,0,13,0.002,6,0.001,2,0.001,2,0.002
415;448_0-400m,1125;1163;1162_0-400m,0,0,0,0,2,0,0,0,2,0.001,3,0.004
415;448_0-400m,1125;1163;1162_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_0-400m,1134;1153_0-400m,1,0.003,0,0,4,0.001,0,0,0,0,0,0
415;448_0-400m,1134;1153_400-800m,0,0,0,0,1,0,0,0,2,0.001,0,0
415;448_0-400m,21;28;1612_0-400m,0,0,3,0.001,15,0.002,9,0.002,8,0.002,0,0
415;448_0-400m,21;28;1612_400-800m,0,0,10,0.004,20,0.003,5,0.001,1,0,3,0.004
415;448_0-400m,1131;1158_0-400m,0,0,1,0,4,0.001,0,0,0,0,0,0
415;448_0-400m,1131;1158_400-800m,0,0,0,0,0,0,1,0,2,0.001,0,0
415;448_0-400m,1135;1152_0-400m,0,0,0,0,7,0.001,2,0,3,0.001,0,0
415;448_0-400m,1135;1152_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_0-400m,584;604_0-400m,1,0.003,2,0.001,10,0.001,3,0.001,8,0.002,1,0.001
415;448_0-400m,584;604_400-800m,0,0,1,0,7,0.001,3,0.001,2,0.001,2,0.002
415;448_0-400m,1139;1149_0-400m,1,0.003,1,0,6,0.001,1,0,6,0.002,0,0
415;448_0-400m,1139;1149_400-800m,0,0,0,0,0,0,0,0,1,0,0,0
415;448_0-400m,1138;1150;1137_0-400m,0,0,1,0,5,0.001,5,0.001,0,0,1,0.001
415;448_0-400m,1138;1150;1137_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_0-400m,1124;1164_0-400m,0,0,3,0.001,3,0,4,0.001,0,0,1,0.001
415;448_0-400m,1124;1164_400-800m,0,0,5,0.002,9,0.001,6,0.001,4,0.001,0,0
415;448_0-400m,343;349_0-400m,0,0,0,0,5,0.001,3,0.001,9,0.002,3,0.004
415;448_0-400m,343;349_400-800m,0,0,0,0,3,0,1,0,3,0.001,0,0
415;448_0-400m,1136;1151_0-400m,0,0,5,0.002,4,0.001,1,0,2,0.001,0,0
415;448_0-400m,1136;1151_400-800m,0,0,0,0,1,0,0,0,4,0.001,0,0
415;448_0-400m,342;350_0-400m,0,0,2,0.001,6,0.001,7,0.002,4,0.001,2,0.002
415;448_0-400m,342;350_400-800m,0,0,0,0,2,0,1,0,1,0,0,0
415;448_0-400m,1141;1147_0-400m,0,0,0,0,3,0,0,0,7,0.002,2,0.002
415;448_0-400m,1141;1147_400-800m,0,0,0,0,1,0,0,0,1,0,0,0
415;448_0-400m,1132;1155;1156_0-400m,0,0,0,0,4,0.001,1,0,1,0,1,0.001
415;448_0-400m,1132;1155;1156_400-800m,0,0,1,0,1,0,0,0,0,0,0,0
415;448_0-400m,1133;1154_0-400m,0,0,0,0,2,0,2,0,1,0,0,0
415;448_0-400m,1133;1154_400-800m,0,0,1,0,2,0,2,0,0,0,0,0
415;448_0-400m,1130;1159;1160_0-400m,0,0,2,0.001,11,0.001,2,0,2,0.001,1,0.001
415;448_0-400m,1130;1159;1160_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_0-400m,345;347_0-400m,1,0.003,0,0,9,0.001,6,0.001,7,0.002,1,0.001
415;448_0-400m,345;347_400-800m,1,0.003,9,0.003,34,0.004,13,0.003,22,0.006,9,0.011
415;448_0-400m,344;348_0-400m,0,0,1,0,6,0.001,2,0,4,0.001,1,0.001
415;448_0-400m,344;348_400-800m,4,0.012,0,0,12,0.002,8,0.002,5,0.001,2,0.002
415;448_0-400m,1140;1148_0-400m,0,0,2,0.001,4,0.001,3,0.001,3,0.001,2,0.002
415;448_0-400m,1140;1148_400-800m,0,0,1,0,3,0,3,0.001,3,0.001,0,0
415;448_0-400m,1127;1161_0-400m,1,0.003,1,0,4,0.001,3,0.001,1,0,2,0.002
415;448_0-400m,1127;1161_400-800m,0,0,0,0,0,0,1,0,0,0,0,0
415;448_0-400m,1855_0-400m,0,0,0,0,2,0,1,0,0,0,0,0
415;448_0-400m,1855_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_0-400m,187;204_0-400m,0,0,0,0,1,0,1,0,3,0.001,0,0
415;448_0-400m,187;204_400-800m,0,0,0,0,0,0,1,0,1,0,0,0
415;448_0-400m,661;674_0-400m,0,0,0,0,1,0,1,0,4,0.001,0,0
415;448_0-400m,661;674_400-800m,0,0,0,0,0,0,1,0,0,0,0,0
415;448_0-400m,184;207_0-400m,1,0.003,0,0,0,0,2,0,1,0,2,0.002
415;448_0-400m,184;207_400-800m,1,0.003,2,0.001,2,0,2,0,7,0.002,0,0
415;448_0-400m,657;678_0-400m,1,0.003,2,0.001,1,0,1,0,4,0.001,1,0.001
415;448_0-400m,657;678_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_0-400m,656;679_0-400m,1,0.003,1,0,4,0.001,2,0,2,0.001,0,0
415;448_0-400m,656;679_400-800m,0,0,0,0,0,0,0,0,1,0,0,0
415;448_0-400m,1383;1461;1384_0-400m,0,0,8,0.003,9,0.001,5,0.001,4,0.001,5,0.006
415;448_0-400m,1383;1461;1384_400-800m,1,0.003,2,0.001,7,0.001,4,0.001,4,0.001,2,0.002
415;448_0-400m,665;670_0-400m,0,0,3,0.001,7,0.001,5,0.001,2,0.001,1,0.001
415;448_0-400m,665;670_400-800m,0,0,1,0,2,0,2,0,0,0,1,0.001
415;448_0-400m,659;676;675_0-400m,0,0,3,0.001,5,0.001,4,0.001,0,0,0,0
415;448_0-400m,659;676;675_400-800m,0,0,0,0,1,0,1,0,0,0,0,0
415;448_0-400m,664;671_0-400m,1,0.003,2,0.001,7,0.001,8,0.002,4,0.001,2,0.002
415;448_0-400m,664;671_400-800m,1,0.003,3,0.001,2,0,4,0.001,0,0,0,0
415;448_0-400m,185;206_0-400m,0,0,0,0,4,0.001,4,0.001,4,0.001,0,0
415;448_0-400m,185;206_400-800m,0,0,0,0,0,0,2,0,1,0,0,0
415;448_0-400m,662;673_0-400m,1,0.003,6,0.002,4,0.001,4,0.001,5,0.001,0,0
415;448_0-400m,662;673_400-800m,2,0.006,2,0.001,15,0.002,6,0.001,1,0,1,0.001
415;448_0-400m,1385;1459_0-400m,0,0,5,0.002,15,0.002,1,0,4,0.001,3,0.004
415;448_0-400m,1385;1459_400-800m,1,0.003,0,0,2,0,0,0,1,0,0,0
415;448_0-400m,658;677_0-400m,1,0.003,1,0,0,0,1,0,1,0,0,0
415;448_0-400m,658;677_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_0-400m,663;672_0-400m,0,0,5,0.002,9,0.001,3,0.001,3,0.001,1,0.001
415;448_0-400m,663;672_400-800m,0,0,0,0,1,0,4,0.001,1,0,0,0
415;448_0-400m,183;209_0-400m,0,0,3,0.001,5,0.001,3,0.001,1,0,0,0
415;448_0-400m,183;209_400-800m,0,0,1,0,2,0,0,0,0,0,0,0
415;448_0-400m,186;205_0-400m,1,0.003,1,0,1,0,1,0,0,0,0,0
415;448_0-400m,186;205_400-800m,0,0,0,0,0,0,1,0,0,0,0,0
415;448_0-400m,188;203_0-400m,0,0,0,0,7,0.001,5,0.001,4,0.001,1,0.001
415;448_0-400m,188;203_400-800m,0,0,2,0.001,8,0.001,3,0.001,2,0.001,1,0.001
415;448_0-400m,388;823_0-400m,3,0.009,9,0.003,11,0.001,10,0.002,5,0.001,0,0
415;448_0-400m,388;823_400-800m,0,0,9,0.003,4,0.001,4,0.001,3,0.001,0,0
415;448_0-400m,1386;95_0-400m,0,0,5,0.002,13,0.002,6,0.001,2,0.001,1,0.001
415;448_0-400m,1386;95_400-800m,0,0,0,0,3,0,3,0.001,1,0,1,0.001
415;448_0-400m,Orange_0-400m,9,0.027,35,0.013,125,0.016,64,0.014,39,0.01,6,0.007
415;448_0-400m,Blue_0-400m,1,0.003,1,0,9,0.001,6,0.001,4,0.001,0,0
415;448_0-400m,Green_0-400m,2,0.006,7,0.003,19,0.002,11,0.002,17,0.004,5,0.006
415;448_0-400m,Orange_400-800m,4,0.012,18,0.007,37,0.005,17,0.004,12,0.003,5,0.006
415;448_0-400m,Blue_400-800m,2,0.006,8,0.003,9,0.001,11,0.002,8,0.002,2,0.002
415;448_0-400m,Green_400-800m,1,0.003,2,0.001,6,0.001,5,0.001,6,0.002,0,0
415;448_0-400m,External,135,0.411,673,0.248,1596,0.203,870,0.191,776,0.198,165,0.205
415;448_400-800m,415;448_0-400m,0,0,5,0.002,17,0.002,5,0.001,6,0.002,4,0.005
415;448_400-800m,415;448_400-800m,0,0,15,0.006,29,0.004,9,0.002,24,0.006,3,0.004
415;448_400-800m,408;455_0-400m,2,0.006,4,0.001,11,0.001,7,0.002,4,0.001,3,0.004
415;448_400-800m,408;455_400-800m,1,0.003,0,0,7,0.001,2,0,1,0,0,0
415;448_400-800m,412;451_0-400m,0,0,4,0.001,10,0.001,6,0.001,5,0.001,2,0.002
415;448_400-800m,412;451_400-800m,0,0,1,0,10,0.001,4,0.001,8,0.002,1,0.001
415;448_400-800m,416;447_0-400m,0,0,2,0.001,7,0.001,4,0.001,7,0.002,0,0
415;448_400-800m,416;447_400-800m,1,0.003,7,0.003,22,0.003,10,0.002,11,0.003,2,0.002
415;448_400-800m,410;452_0-400m,1,0.003,3,0.001,12,0.002,4,0.001,1,0,0,0
415;448_400-800m,410;452_400-800m,1,0.003,2,0.001,9,0.001,13,0.003,6,0.002,0,0
415;448_400-800m,414;449_0-400m,0,0,3,0.001,7,0.001,3,0.001,2,0.001,1,0.001
415;448_400-800m,414;449_400-800m,0,0,2,0.001,15,0.002,7,0.002,6,0.002,1,0.001
415;448_400-800m,407;456_0-400m,0,0,1,0,2,0,2,0,1,0,1,0.001
415;448_400-800m,407;456_400-800m,0,0,2,0.001,9,0.001,5,0.001,8,0.002,4,0.005
415;448_400-800m,413;450_0-400m,0,0,4,0.001,16,0.002,6,0.001,4,0.001,3,0.004
415;448_400-800m,413;450_400-800m,0,0,3,0.001,23,0.003,11,0.002,14,0.004,8,0.01
415;448_400-800m,419;444;420_0-400m,2,0.006,3,0.001,30,0.004,20,0.004,15,0.004,5,0.006
415;448_400-800m,419;444;420_400-800m,0,0,3,0.001,12,0.002,5,0.001,5,0.001,0,0
415;448_400-800m,417;445_0-400m,0,0,2,0.001,5,0.001,6,0.001,7,0.002,2,0.002
415;448_400-800m,417;445_400-800m,1,0.003,3,0.001,22,0.003,10,0.002,6,0.002,3,0.004
415;448_400-800m,405;457_0-400m,0,0,0,0,8,0.001,8,0.002,6,0.002,0,0
415;448_400-800m,405;457_400-800m,0,0,2,0.001,0,0,1,0,1,0,0,0
415;448_400-800m,404;459_0-400m,1,0.003,3,0.001,11,0.001,5,0.001,14,0.004,4,0.005
415;448_400-800m,404;459_400-800m,0,0,2,0.001,15,0.002,7,0.002,10,0.003,1,0.001
415;448_400-800m,421;442_0-400m,1,0.003,10,0.004,36,0.005,18,0.004,14,0.004,6,0.007
415;448_400-800m,421;442_400-800m,0,0,1,0,16,0.002,7,0.002,6,0.002,1,0.001
415;448_400-800m,196;24;1508_0-400m,1,0.003,8,0.003,15,0.002,8,0.002,10,0.003,2,0.002
415;448_400-800m,196;24;1508_400-800m,1,0.003,2,0.001,7,0.001,7,0.002,2,0.001,1,0.001
415;448_400-800m,409;453_0-400m,1,0.003,4,0.001,11,0.001,5,0.001,6,0.002,1,0.001
415;448_400-800m,409;453_400-800m,0,0,1,0,14,0.002,3,0.001,3,0.001,1,0.001
415;448_400-800m,1503_0-400m,2,0.006,4,0.001,27,0.003,12,0.003,17,0.004,0,0
415;448_400-800m,1503_400-800m,2,0.006,2,0.001,3,0,5,0.001,1,0,2,0.002
415;448_400-800m,1125;1163;1162_0-400m,0,0,2,0.001,0,0,0,0,0,0,0,0
415;448_400-800m,1125;1163;1162_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_400-800m,1134;1153_0-400m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_400-800m,1134;1153_400-800m,0,0,0,0,3,0,0,0,0,0,0,0
415;448_400-800m,21;28;1612_0-400m,0,0,1,0,6,0.001,6,0.001,5,0.001,1,0.001
415;448_400-800m,21;28;1612_400-800m,3,0.009,3,0.001,6,0.001,3,0.001,5,0.001,2,0.002
415;448_400-800m,1131;1158_0-400m,0,0,0,0,1,0,0,0,0,0,0,0
415;448_400-800m,1131;1158_400-800m,0,0,0,0,1,0,1,0,1,0,0,0
415;448_400-800m,1135;1152_0-400m,0,0,1,0,4,0.001,2,0,0,0,0,0
415;448_400-800m,1135;1152_400-800m,0,0,0,0,0,0,1,0,0,0,0,0
415;448_400-800m,584;604_0-400m,0,0,1,0,4,0.001,3,0.001,2,0.001,1,0.001
415;448_400-800m,584;604_400-800m,0,0,2,0.001,3,0,0,0,2,0.001,2,0.002
415;448_400-800m,1139;1149_0-400m,1,0.003,1,0,2,0,1,0,0,0,0,0
415;448_400-800m,1139;1149_400-800m,0,0,0,0,0,0,1,0,0,0,0,0
415;448_400-800m,1138;1150;1137_0-400m,0,0,1,0,2,0,0,0,1,0,2,0.002
415;448_400-800m,1138;1150;1137_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_400-800m,1124;1164_0-400m,0,0,0,0,0,0,3,0.001,1,0,0,0
415;448_400-800m,1124;1164_400-800m,0,0,1,0,9,0.001,4,0.001,1,0,0,0
415;448_400-800m,343;349_0-400m,0,0,0,0,3,0,2,0,5,0.001,2,0.002
415;448_400-800m,343;349_400-800m,0,0,1,0,0,0,0,0,0,0,0,0
415;448_400-800m,1136;1151_0-400m,0,0,0,0,2,0,1,0,0,0,0,0
415;448_400-800m,1136;1151_400-800m,0,0,0,0,2,0,0,0,0,0,0,0
415;448_400-800m,342;350_0-400m,0,0,0,0,2,0,4,0.001,2,0.001,2,0.002
415;448_400-800m,342;350_400-800m,0,0,0,0,1,0,2,0,0,0,0,0
415;448_400-800m,1141;1147_0-400m,0,0,0,0,2,0,2,0,2,0.001,1,0.001
415;448_400-800m,1141;1147_400-800m,0,0,0,0,1,0,0,0,0,0,0,0
415;448_400-800m,1132;1155;1156_0-400m,0,0,0,0,0,0,0,0,1,0,0,0
415;448_400-800m,1132;1155;1156_400-800m,1,0.003,0,0,1,0,0,0,0,0,0,0
415;448_400-800m,1133;1154_0-400m,0,0,0,0,2,0,0,0,0,0,1,0.001
415;448_400-800m,1133;1154_400-800m,0,0,0,0,2,0,0,0,1,0,1,0.001
415;448_400-800m,1130;1159;1160_0-400m,0,0,1,0,1,0,0,0,2,0.001,0,0
415;448_400-800m,1130;1159;1160_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_400-800m,345;347_0-400m,0,0,3,0.001,3,0,0,0,3,0.001,1,0.001
415;448_400-800m,345;347_400-800m,1,0.003,2,0.001,14,0.002,8,0.002,7,0.002,2,0.002
415;448_400-800m,344;348_0-400m,0,0,1,0,3,0,0,0,0,0,0,0
415;448_400-800m,344;348_400-800m,0,0,1,0,5,0.001,6,0.001,1,0,2,0.002
415;448_400-800m,1140;1148_0-400m,0,0,0,0,1,0,0,0,1,0,2,0.002
415;448_400-800m,1140;1148_400-800m,0,0,1,0,2,0,0,0,0,0,1,0.001
415;448_400-800m,1127;1161_0-400m,0,0,1,0,2,0,1,0,0,0,0,0
415;448_400-800m,1127;1161_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_400-800m,1855_0-400m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_400-800m,1855_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_400-800m,187;204_0-400m,0,0,0,0,2,0,1,0,0,0,0,0
415;448_400-800m,187;204_400-800m,0,0,2,0.001,2,0,0,0,0,0,0,0
415;448_400-800m,661;674_0-400m,0,0,0,0,0,0,0,0,2,0.001,0,0
415;448_400-800m,661;674_400-800m,0,0,0,0,0,0,1,0,0,0,0,0
415;448_400-800m,184;207_0-400m,1,0.003,0,0,3,0,1,0,0,0,0,0
415;448_400-800m,184;207_400-800m,0,0,1,0,1,0,0,0,0,0,0,0
415;448_400-800m,657;678_0-400m,0,0,0,0,0,0,0,0,1,0,1,0.001
415;448_400-800m,657;678_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_400-800m,656;679_0-400m,0,0,2,0.001,3,0,1,0,0,0,0,0
415;448_400-800m,656;679_400-800m,0,0,0,0,1,0,1,0,0,0,0,0
415;448_400-800m,1383;1461;1384_0-400m,0,0,1,0,8,0.001,4,0.001,4,0.001,1,0.001
415;448_400-800m,1383;1461;1384_400-800m,0,0,1,0,7,0.001,1,0,0,0,0,0
415;448_400-800m,665;670_0-400m,0,0,2,0.001,8,0.001,0,0,1,0,1,0.001
415;448_400-800m,665;670_400-800m,0,0,1,0,1,0,0,0,0,0,1,0.001
415;448_400-800m,659;676;675_0-400m,0,0,0,0,2,0,3,0.001,1,0,0,0
415;448_400-800m,659;676;675_400-800m,1,0.003,0,0,1,0,1,0,0,0,0,0
415;448_400-800m,664;671_0-400m,0,0,2,0.001,4,0.001,0,0,1,0,0,0
415;448_400-800m,664;671_400-800m,0,0,0,0,3,0,1,0,0,0,1,0.001
415;448_400-800m,185;206_0-400m,0,0,0,0,3,0,1,0,0,0,0,0
415;448_400-800m,185;206_400-800m,0,0,1,0,2,0,2,0,0,0,0,0
415;448_400-800m,662;673_0-400m,0,0,1,0,5,0.001,3,0.001,3,0.001,0,0
415;448_400-800m,662;673_400-800m,0,0,2,0.001,4,0.001,3,0.001,1,0,0,0
415;448_400-800m,1385;1459_0-400m,0,0,4,0.001,6,0.001,4,0.001,2,0.001,1,0.001
415;448_400-800m,1385;1459_400-800m,0,0,0,0,0,0,1,0,2,0.001,0,0
415;448_400-800m,658;677_0-400m,0,0,2,0.001,0,0,1,0,0,0,0,0
415;448_400-800m,658;677_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_400-800m,663;672_0-400m,0,0,1,0,1,0,4,0.001,1,0,0,0
415;448_400-800m,663;672_400-800m,0,0,0,0,0,0,0,0,0,0,1,0.001
415;448_400-800m,183;209_0-400m,0,0,0,0,3,0,1,0,1,0,0,0
415;448_400-800m,183;209_400-800m,0,0,1,0,0,0,0,0,0,0,0,0
415;448_400-800m,186;205_0-400m,0,0,2,0.001,3,0,1,0,0,0,0,0
415;448_400-800m,186;205_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_400-800m,188;203_0-400m,0,0,2,0.001,1,0,0,0,1,0,0,0
415;448_400-800m,188;203_400-800m,0,0,0,0,1,0,1,0,3,0.001,0,0
415;448_400-800m,388;823_0-400m,1,0.003,2,0.001,8,0.001,3,0.001,8,0.002,0,0
415;448_400-800m,388;823_400-800m,0,0,4,0.001,1,0,3,0.001,0,0,0,0
415;448_400-800m,1386;95_0-400m,0,0,4,0.001,3,0,3,0.001,1,0,0,0
415;448_400-800m,1386;95_400-800m,0,0,0,0,2,0,1,0,0,0,1,0.001
415;448_400-800m,Orange_0-400m,3,0.009,9,0.003,35,0.004,28,0.006,35,0.009,1,0.001
415;448_400-800m,Blue_0-400m,0,0,4,0.001,3,0,3,0.001,3,0.001,0,0
415;448_400-800m,Green_0-400m,0,0,5,0.002,6,0.001,7,0.002,3,0.001,1,0.001
415;448_400-800m,Orange_400-800m,0,0,3,0.001,10,0.001,13,0.003,3,0.001,0,0
415;448_400-800m,Blue_400-800m,2,0.006,7,0.003,7,0.001,4,0.001,5,0.001,0,0
415;448_400-800m,Green_400-800m,0,0,7,0.003,8,0.001,5,0.001,1,0,0,0
415;448_400-800m,External,81,0.247,353,0.13,644,0.082,364,0.08,300,0.077,55,0.068
408;455_0-400m,415;448_0-400m,0,0,3,0.001,34,0.004,14,0.003,18,0.005,4,0.005
408;455_0-400m,415;448_400-800m,0,0,1,0,6,0.001,5,0.001,7,0.002,3,0.004
408;455_0-400m,408;455_0-400m,2,0.006,16,0.006,78,0.01,46,0.01,55,0.014,17,0.021
408;455_0-400m,408;455_400-800m,0,0,1,0,6,0.001,5,0.001,5,0.001,3,0.004
408;455_0-400m,412;451_0-400m,3,0.009,2,0.001,22,0.003,17,0.004,24,0.006,6,0.007
408;455_0-400m,412;451_400-800m,0,0,2,0.001,16,0.002,14,0.003,18,0.005,6,0.007
408;455_0-400m,416;447_0-400m,0,0,4,0.001,18,0.002,13,0.003,12,0.003,6,0.007
408;455_0-400m,416;447_400-800m,0,0,4,0.001,11,0.001,6,0.001,8,0.002,8,0.01
408;455_0-400m,410;452_0-400m,0,0,6,0.002,22,0.003,10,0.002,25,0.006,4,0.005
408;455_0-400m,410;452_400-800m,0,0,1,0,19,0.002,11,0.002,17,0.004,5,0.006
408;455_0-400m,414;449_0-400m,0,0,6,0.002,25,0.003,12,0.003,16,0.004,4,0.005
408;455_0-400m,414;449_400-800m,0,0,2,0.001,10,0.001,2,0,9,0.002,1,0.001
408;455_0-400m,407;456_0-400m,1,0.003,10,0.004,24,0.003,10,0.002,8,0.002,7,0.009
408;455_0-400m,407;456_400-800m,0,0,5,0.002,21,0.003,16,0.004,13,0.003,1,0.001
408;455_0-400m,413;450_0-400m,1,0.003,5,0.002,17,0.002,8,0.002,16,0.004,7,0.009
408;455_0-400m,413;450_400-800m,1,0.003,4,0.001,20,0.003,11,0.002,15,0.004,2,0.002
408;455_0-400m,419;444;420_0-400m,3,0.009,6,0.002,40,0.005,14,0.003,16,0.004,2,0.002
408;455_0-400m,419;444;420_400-800m,0,0,7,0.003,10,0.001,5,0.001,2,0.001,1,0.001
408;455_0-400m,417;445_0-400m,2,0.006,2,0.001,14,0.002,14,0.003,16,0.004,5,0.006
408;455_0-400m,417;445_400-800m,1,0.003,2,0.001,3,0,5,0.001,9,0.002,5,0.006
408;455_0-400m,405;457_0-400m,0,0,6,0.002,50,0.006,36,0.008,20,0.005,4,0.005
408;455_0-400m,405;457_400-800m,0,0,2,0.001,2,0,3,0.001,2,0.001,0,0
408;455_0-400m,404;459_0-400m,3,0.009,16,0.006,51,0.006,29,0.006,30,0.008,7,0.009
408;455_0-400m,404;459_400-800m,1,0.003,24,0.009,52,0.007,28,0.006,31,0.008,9,0.011
408;455_0-400m,421;442_0-400m,0,0,9,0.003,29,0.004,12,0.003,16,0.004,2,0.002
408;455_0-400m,421;442_400-800m,2,0.006,0,0,9,0.001,2,0,5,0.001,1,0.001
408;455_0-400m,196;24;1508_0-400m,2,0.006,5,0.002,11,0.001,11,0.002,7,0.002,2,0.002
408;455_0-400m,196;24;1508_400-800m,0,0,0,0,3,0,1,0,10,0.003,2,0.002
408;455_0-400m,409;453_0-400m,4,0.012,17,0.006,50,0.006,31,0.007,41,0.01,11,0.014
408;455_0-400m,409;453_400-800m,0,0,10,0.004,27,0.003,16,0.004,15,0.004,3,0.004
408;455_0-400m,1503_0-400m,3,0.009,29,0.011,16,0.002,8,0.002,9,0.002,2,0.002
408;455_0-400m,1503_400-800m,0,0,1,0,2,0,1,0,1,0,2,0.002
408;455_0-400m,1125;1163;1162_0-400m,0,0,1,0,1,0,1,0,1,0,0,0
408;455_0-400m,1125;1163;1162_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
408;455_0-400m,1134;1153_0-400m,0,0,0,0,0,0,0,0,0,0,0,0
408;455_0-400m,1134;1153_400-800m,0,0,0,0,1,0,1,0,0,0,0,0
408;455_0-400m,21;28;1612_0-400m,0,0,2,0.001,3,0,2,0,3,0.001,0,0
408;455_0-400m,21;28;1612_400-800m,1,0.003,0,0,8,0.001,2,0,6,0.002,1,0.001
