stop_id,latitude,longitude
0_281,42.244160900000004,-71.75731800000001
0_280,42.2461709,-71.7598859
0_263;0_304,42.255959900118874,-71.7858450001563
0_316;0_275,42.252690250058066,-71.7827214999959
0_279,42.2477025,-71.7614112
0_315;0_271,42.2505629500133,-71.76498290003612
0_264;0_303,42.25092965001392,-71.77965854993279
0_298;0_272,42.25972500002461,-71.79373489998231
0_3490,42.24702059999999,-71.75855650000001
0_283;0_292,42.241423050006325,-71.75423094994096
0_318;0_265,42.2509178001156,-71.77726710011181
0_274;0_295,42.25456090041996,-71.78394949919326
0_282;0_311,42.24359650001365,-71.7563571500076
0_302,42.25105090000001,-71.778561
0_277,42.250675700000016,-71.76704210000001
0_1181;0_294,42.25169750003258,-71.78212640004445
0_301;0_266,42.25017915001834,-71.77537540004663
0_273;0_296,42.25527935017069,-71.78483074984862
0_305;0_262,42.25618735012557,-71.78780020003822
0_1180,42.245281,-71.7589402
0_319;0_261,42.25649995053459,-71.78959004983376
0_317;0_268,42.25081700017244,-71.77219639976157
0_267;0_300,42.250483000001275,-71.77353894998916
0_260;0_297,42.257306550275366,-71.79131119989458
0_269;0_299,42.250594850134895,-71.76871530025258
0_278;0_293,42.24861875017779,-71.76222464974919
0_3130,42.2608983,-71.7966625
0_3530,42.26020989999999,-71.7951899
